group,target_names,anchor_names,layer,variant,alpha,target_rank,anchor_rank,residual_rank,target_feature_leakage,target_basis_leakage,anchor_feature_error,raw_frozen_s_distortion,normalized_frozen_s_distortion,f_minus_g_normalized_preservation,compensation_magnitude,compensation_orthogonality_residual,anchor_pointwise_fix_residual,anchor_residual_basis_orthogonality,gram_residual,projection_gram_match_residual,compensation_trace_error
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.3790641261492396e-27,2.0505805101204414e-28,1.4194598194758314e-27,1900.9687771502713,0.17379784164748588,0.13333010179520327,0.36656860592823154,1.9427947555728753e-12,1.9671716282699119e-14,4.2441000968709709e-14,1.8833086686246763e-12,1.8833086686246763e-12,2.1827872842550278e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.3758989013227032e-27,2.0522431596746681e-28,1.6379179136355601e-27,442.62868406077132,0.040467739852282615,0.13333010179520327,0.36656860592823154,1.9427947555728753e-12,1.9671716282699119e-14,4.2441000968709709e-14,1.8833086686246763e-12,1.8833086686246763e-12,2.1827872842550278e-11
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.28348559694634984,0.87667206130572628,0.19417412202226789,2227.2582969775735,0.20009330161359662,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,3.957427350293619e-28,9.4446219020175437e-29,3.7819765190672753e-28,1794.0349030562656,0.16117320898509666,0.12561416310453793,0.36363952852010739,1.9333235158110195e-12,1.4317715317302756e-14,2.3700374151024512e-14,1.889251926644331e-12,1.889251926644331e-12,9.0949470177292824e-12
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,3.9550058903558525e-28,9.4072033216534868e-29,4.1965207592732646e-28,395.81125070854893,0.035559045880558707,0.12561416310453793,0.36363952852010739,1.9333235158110195e-12,1.4317715317302756e-14,2.3700374151024512e-14,1.889251926644331e-12,1.889251926644331e-12,9.0949470177292824e-12
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.85767768683666279,0.97850555950955564,0.12458165720724439,5095.3348892322847,0.061406090159397068,,,,,,,,
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,5.2906857093200226e-30,2.0554732609581286e-28,6.9254571692765933e-30,2396.3275462299875,0.028879182341127015,0.01889589443394727,0.92525331209686146,2.4858441458763383e-11,1.6676554018391522e-14,1.091888692436547e-14,2.4747350662174964e-11,2.4747350662174964e-11,1.1932570487260818e-09
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,6.510305220511744e-30,2.0703704186073075e-28,2.4324714361096742e-29,828.39006767343062,0.0099832879071797467,0.01889589443394727,0.92525331209686146,2.4858441458763383e-11,1.6676554018391522e-14,1.091888692436547e-14,2.4747350662174964e-11,2.4747350662174964e-11,1.1932570487260818e-09
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,,12,12,,0.52236927714165537,0.94332848041409323,0.12859495570007121,2024.1363678435716,0.20545402642669985,,,,,,,,
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,F_pure_residual_projection,1,12,12,12,1.4916315247900794e-28,5.2892602642868137e-29,1.0895727307151652e-28,903.44711417422013,0.091701750049787506,0.066330578049515573,0.35249525047473856,1.867484651486706e-12,1.3855054256788026e-14,1.8049479721020601e-14,1.8268281399278675e-12,1.8268281399278675e-12,1.4551915228366852e-11
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,G_full_afr,1,12,12,12,1.4967630586047368e-28,5.3131635960655931e-29,1.5370378639795966e-28,249.95719399486603,0.025371172000271929,0.066330578049515573,0.35249525047473856,1.867484651486706e-12,1.3855054256788026e-14,1.8049479721020601e-14,1.8268281399278675e-12,1.8268281399278675e-12,1.4551915228366852e-11
