projection,layer_index,target_index,target_concept,pearson,spearman
to_v,3,2,tabby,0.03196237531312241,0.015649693098394896
to_v,3,3,tiger cat,0.03626032209650582,0.043582448139519045
to_v,3,4,orange,0.031338396676860454,0.04454036314916273
to_v,3,5,lemon,0.03253314147268065,0.07920871236027374
to_v,3,6,yawl,0.02674716820663837,0.02244957798585904
to_v,3,7,lifeboat,0.04314355558249637,0.06978362830999194
to_v,3,8,soccer ball,0.04505972113904378,0.06280474002090274
to_v,3,9,volleyball,0.04645484510412108,0.06254506198248759
to_v,4,0,golden retriever,0.046420530877125346,0.08160621592577355
to_v,4,1,labrador retriever,0.0468218715273618,0.08263725541356814
to_v,4,2,tabby,0.04269622639658352,0.10209268698049064
to_v,4,3,tiger cat,0.05126182297121509,0.09667431759745863
to_v,4,4,orange,0.05000187957314159,0.06790842946122787
to_v,4,5,lemon,0.038237372710979094,0.06245263539489265
to_v,4,6,yawl,0.034663526861139646,0.020274877333876742
to_v,4,7,lifeboat,0.04440065981451011,0.042949245681625274
to_v,4,8,soccer ball,0.04327267599534452,0.06346834546010012
to_v,4,9,volleyball,0.045886313698736254,0.10695904440840812
to_v,5,0,golden retriever,0.04647478276394752,0.058860250678425916
to_v,5,1,labrador retriever,0.05097135452643589,0.06608363300210873
to_v,5,2,tabby,0.04627660039478763,0.09364967191737501
to_v,5,3,tiger cat,0.04955594930772681,0.06824073550126174
to_v,5,4,orange,0.058877509849698216,0.08096355575313652
to_v,5,5,lemon,0.046964591061507924,0.06685307482493161
to_v,5,6,yawl,0.04827349099894472,0.08162154215934657
to_v,5,7,lifeboat,0.048925297465976354,0.08374594280667534
to_v,5,8,soccer ball,0.04309674498431798,0.03623937720343937
to_v,5,9,volleyball,0.05400265334838158,0.03884658439915273
to_v,6,0,golden retriever,0.05182846173502809,0.018952985828339264
to_v,6,1,labrador retriever,0.052515778011031994,0.0404596539640083
to_v,6,2,tabby,0.04173177739685982,0.026245394354120783
to_v,6,3,tiger cat,0.04270726315809286,0.016288515164425515
to_v,6,4,orange,0.050940923233243056,0.049021020480904225
to_v,6,5,lemon,0.049457860011748414,0.06058679089720901
to_v,6,6,yawl,0.04127681000638325,0.0572578780155176
to_v,6,7,lifeboat,0.050755762121952874,0.07338724516242984
to_v,6,8,soccer ball,0.052702880545366135,0.07057511402672528
to_v,6,9,volleyball,0.05475036317221058,0.0753477012679336
to_v,7,0,golden retriever,0.04902647121543081,0.09097848369644922
to_v,7,1,labrador retriever,0.05248224879755838,0.10663890736721587
to_v,7,2,tabby,0.03981017311501025,0.07343411897907758
to_v,7,3,tiger cat,0.054007746590698485,0.07869800671867404
to_v,7,4,orange,0.051492498954982764,0.10622960362265747
to_v,7,5,lemon,0.04257294716817359,0.0750768519955008
to_v,7,6,yawl,0.05467092523349418,0.11730751652302115
to_v,7,7,lifeboat,0.04338562817133743,0.09094020606866246
to_v,7,8,soccer ball,0.04548972917438353,0.10199067143817095
to_v,7,9,volleyball,0.05124631493322594,0.07345348497823657
to_v,8,0,golden retriever,0.053817095351058525,0.074624347450825
to_v,8,1,labrador retriever,0.05706629720241834,0.07972079345555849
to_v,8,2,tabby,0.045725439633412225,0.023774345479462368
to_v,8,3,tiger cat,0.04403161630901478,0.028144486318391566
to_v,8,4,orange,0.04206899494206192,0.06526406323483087
to_v,8,5,lemon,0.04366597498942729,0.046279718703998246
to_v,8,6,yawl,0.039275811206601216,0.057170843171037336
to_v,8,7,lifeboat,0.045516578393203756,0.009103224860652258
to_v,8,8,soccer ball,0.05148678201459635,0.054030522988407846
to_v,8,9,volleyball,0.05095431992456185,-0.0010828536874245892
to_v,9,0,golden retriever,0.05741125334803307,0.10677692605736169
to_v,9,1,labrador retriever,0.044612988118939795,0.04043579962144376
to_v,9,2,tabby,0.04956187332738394,0.1054994767566648
to_v,9,3,tiger cat,0.047152152017818506,0.0793240070259537
to_v,9,4,orange,0.029239668904094178,0.07719879114143405
to_v,9,5,lemon,0.01415172191304247,-0.046810256157889
to_v,9,6,yawl,0.037905564787128254,-0.00774430780335944
to_v,9,7,lifeboat,0.03904431195892656,0.09551854024060319
to_v,9,8,soccer ball,0.0486852365811699,0.06211934339687821
to_v,9,9,volleyball,0.04327144718807159,0.03747512637721575
to_v,10,0,golden retriever,0.05819600287934483,0.0868418633048688
to_v,10,1,labrador retriever,0.04475975875504565,0.05609587403278697
to_v,10,2,tabby,0.03243823625466775,0.03348651519610505
to_v,10,3,tiger cat,0.0321636322032767,0.032976292739333474
to_v,10,4,orange,0.028907475921277494,-0.00831796803486596
to_v,10,5,lemon,0.035221535610775706,-0.019728234349670838
to_v,10,6,yawl,0.03480304957795691,0.027648933879468596
to_v,10,7,lifeboat,0.04278448842245267,0.025385982300334065
to_v,10,8,soccer ball,0.03874176300310507,-0.01166973989993388
to_v,10,9,volleyball,0.04084763604106348,-0.03282479553530617
to_v,11,0,golden retriever,0.04026873561098117,0.01065463180081841
to_v,11,1,labrador retriever,0.04552665895800493,0.047304051273822194
to_v,11,2,tabby,0.03487333691602895,0.030837730502426757
to_v,11,3,tiger cat,0.048599840775872115,0.08967598562247264
to_v,11,4,orange,0.034999868663582234,0.03143081975604595
to_v,11,5,lemon,0.04634154530850509,0.0791205906202563
to_v,11,6,yawl,0.04210381995169272,0.0282811524016227
to_v,11,7,lifeboat,0.029273361769479225,0.032655832014335126
to_v,11,8,soccer ball,0.04040097519966003,0.03139659015928931
to_v,11,9,volleyball,0.04401082150759668,0.03380574306288234
to_v,12,0,golden retriever,0.03993542347374932,0.1152625163803674
to_v,12,1,labrador retriever,0.04875011147745138,0.07177808751898461
to_v,12,2,tabby,0.04801929570072126,0.09577046948684126
to_v,12,3,tiger cat,0.05430281222023834,0.14971383127356955
to_v,12,4,orange,0.06994727148193665,0.1392268754988211
to_v,12,5,lemon,0.03788013614306864,0.025954476701675677
to_v,12,6,yawl,0.0420826502986461,-0.006811538402560968
to_v,12,7,lifeboat,0.06603584148700288,0.10795878610682892
to_v,12,8,soccer ball,0.055227112419016754,0.03491144924386777
to_v,12,9,volleyball,0.03732674413872671,0.03619827457626027
to_v,13,0,golden retriever,0.04965168885761858,0.12108052371573083
to_v,13,1,labrador retriever,0.020756254060189848,0.04032188316036604
to_v,13,2,tabby,0.0258113788066913,0.005471930672545787
to_v,13,3,tiger cat,0.04168931984807026,0.13496477976082527
to_v,13,4,orange,0.07567664256450839,0.00301086495061246
to_v,13,5,lemon,0.03680270126940805,0.15840088446568937
to_v,13,6,yawl,0.03416830257671552,0.06333769412813568
to_v,13,7,lifeboat,0.04455506368947944,0.0998504119308466
to_v,13,8,soccer ball,0.022952434815744792,0.035558288425872414
to_v,13,9,volleyball,0.04104826409584219,0.10155509936905968
to_v,14,0,golden retriever,0.04003218652546806,0.030262822143969394
to_v,14,1,labrador retriever,0.01569256256789055,0.011317959306454411
to_v,14,2,tabby,0.05218255341254763,0.070784773331384
to_v,14,3,tiger cat,0.036087960689248993,0.021108979899089417
to_v,14,4,orange,0.04994396533499123,0.045757183715473465
to_v,14,5,lemon,0.0665478362564823,0.10027632136797301
to_v,14,6,yawl,0.04823470108389543,0.0703265102272189
to_v,14,7,lifeboat,0.04901109515479148,0.07940726954671513
to_v,14,8,soccer ball,0.05382014117149618,0.04859533317776438
to_v,14,9,volleyball,0.047299841385422356,0.10722252139853998
to_v,15,0,golden retriever,0.05053214086877167,0.07998780988739235
to_v,15,1,labrador retriever,0.04966532272249205,0.07002740910144398
to_v,15,2,tabby,0.05929757635209259,0.07878377939177013
to_v,15,3,tiger cat,0.055175425323624204,0.08793725521020143
to_v,15,4,orange,0.05087754334576666,0.08520020574933207
to_v,15,5,lemon,0.0554494790517851,0.09056483591443047
to_v,15,6,yawl,0.05403112612138829,0.07660916515912468
to_v,15,7,lifeboat,0.04644068684358874,0.06449685294154321
to_v,15,8,soccer ball,0.04793409401184167,0.05920854222447827
to_v,15,9,volleyball,0.04534836042866413,0.0620461935076595
to_k,0,0,golden retriever,0.04343477250205304,0.05100902566704164
to_k,0,1,labrador retriever,0.03196746324875431,-0.029684962608030885
to_k,0,2,tabby,0.04847019527160234,0.08435602687662076
to_k,0,3,tiger cat,0.023855289459297338,-0.040585379155260594
to_k,0,4,orange,0.0318856597452924,-0.009530610886389294
to_k,0,5,lemon,0.008388025137392813,0.008492642890575358
to_k,0,6,yawl,0.04187566787841059,0.03465991309716569
to_k,0,7,lifeboat,0.04898384728027563,0.04740485720311462
to_k,0,8,soccer ball,0.030410659597784027,0.07049678914685005
to_k,0,9,volleyball,0.03050403176812828,-0.01916838925710802
to_k,1,0,golden retriever,0.02758896673171962,0.026409071158917843
to_k,1,1,labrador retriever,0.04827321639787752,0.056853508895598454
to_k,1,2,tabby,0.05101811938432944,0.026679224457096307
to_k,1,3,tiger cat,0.043716233959498994,0.08337172969920542
to_k,1,4,orange,0.056617071965181356,0.12940669223142842
to_k,1,5,lemon,0.05603177547447392,0.031503921265167566
to_k,1,6,yawl,0.05907013437510729,0.12068787063488468
to_k,1,7,lifeboat,0.05445996269820166,0.10096118722032217
to_k,1,8,soccer ball,0.0479838102105936,-0.020197461767138637
to_k,1,9,volleyball,0.07582911598046528,0.08807224634169024
to_k,2,0,golden retriever,0.03237521421290069,0.019508992747792248
to_k,2,1,labrador retriever,0.04002318265858553,0.0600877216692585
to_k,2,2,tabby,0.038365595877892435,-0.029863101855609194
to_k,2,3,tiger cat,0.028953889843737517,0.025766852241145426
to_k,2,4,orange,0.05252720590749197,0.005835847928838274
to_k,2,5,lemon,0.030984019101307558,-0.0054332816533322345
to_k,2,6,yawl,0.03516631757425446,-0.02256904257896885
to_k,2,7,lifeboat,0.047310994067018136,0.0386927254956903
to_k,2,8,soccer ball,0.03289979686369225,0.06627044400675919
to_k,2,9,volleyball,0.03394606551333932,0.009842735319367992
to_k,3,0,golden retriever,0.04236729187722646,0.08374699510022053
to_k,3,1,labrador retriever,0.03749666301769153,0.08171987232754219
to_k,3,2,tabby,0.02939348823024972,0.07763189465842729
to_k,3,3,tiger cat,0.03348905917151612,0.06864472989706037
to_k,3,4,orange,0.034619711754581894,0.056500650454378784
to_k,3,5,lemon,0.03484644593484799,0.09434913186593823
to_k,3,6,yawl,0.03422348757592378,0.07959714188649844
to_k,3,7,lifeboat,0.02794387115051392,0.053379299332563905
to_k,3,8,soccer ball,0.025351068725267767,0.038211225420970496
to_k,3,9,volleyball,0.03181622548444659,0.04732236357938954
to_k,4,0,golden retriever,0.043927018496672056,0.04089151253695367
to_k,4,1,labrador retriever,0.03717298799991144,0.04550893272383066
to_k,4,2,tabby,0.028558922940226,0.03525183110244273
to_k,4,3,tiger cat,0.044618377893304584,0.06633517425382361
to_k,4,4,orange,0.023986064260761306,-0.009098468270403243
to_k,4,5,lemon,0.036292466206082126,0.017333173216282534
to_k,4,6,yawl,0.045270516967319034,0.0844840695835944
to_k,4,7,lifeboat,0.03648263864130803,0.01696002317201391
to_k,4,8,soccer ball,0.036202163079702324,0.06566359486936413
to_k,4,9,volleyball,0.03987762998846155,0.01752523095588168
to_k,5,0,golden retriever,0.04297870123536639,0.04604507903002857
to_k,5,1,labrador retriever,0.04351642055589885,0.052507218691712876
to_k,5,2,tabby,0.034130494399281695,-0.0009728819575512705
to_k,5,3,tiger cat,0.04112196658906618,0.046363579839651774
to_k,5,4,orange,0.042580048463736024,0.0500993609953553
to_k,5,5,lemon,0.04282304241003911,0.027280967902110854
to_k,5,6,yawl,0.038413768011306554,0.04222592192109436
to_k,5,7,lifeboat,0.039745563019804725,0.01773885458970539
to_k,5,8,soccer ball,0.05467703381446243,0.019638625599988576
to_k,5,9,volleyball,0.03943639344600076,-0.005176674387557689
to_k,6,0,golden retriever,0.04301729145364646,0.07745033170853122
to_k,6,1,labrador retriever,0.04223246998928658,0.02717798391663978
to_k,6,2,tabby,0.03556669300025313,0.033664766661794125
to_k,6,3,tiger cat,0.043188765765941786,0.05147424539877082
to_k,6,4,orange,0.045688687259773236,0.06427727525341737
to_k,6,5,lemon,0.04626051794628361,0.05052711657589369
to_k,6,6,yawl,0.04148871179044117,-0.015105315371570917
to_k,6,7,lifeboat,0.03578908105596754,0.07516262790910003
to_k,6,8,soccer ball,0.043181447843150256,0.09464472723377755
to_k,6,9,volleyball,0.048572690217080924,0.08939267353530325
to_k,7,0,golden retriever,0.03057880954650917,0.01587377995731374
to_k,7,1,labrador retriever,0.022760875425157263,0.01423074063407153
to_k,7,2,tabby,0.03646195604731463,0.01405479407382411
to_k,7,3,tiger cat,0.037370601282156676,0.07133360060843807
to_k,7,4,orange,0.036237071684908674,-0.03452395136724144
to_k,7,5,lemon,0.036243074161122185,0.020228200038972025
to_k,7,6,yawl,0.05471211378650815,0.03255578613414908
to_k,7,7,lifeboat,0.04336549459413994,0.08694845257994727
to_k,7,8,soccer ball,0.046803040166995394,0.0013817514269463178
to_k,7,9,volleyball,0.04747174184863216,0.054886779247460105
to_k,8,0,golden retriever,0.03644441589784235,0.042503402525611
to_k,8,1,labrador retriever,0.02607443231776697,0.060355179477477754
to_k,8,2,tabby,0.03657356723465505,0.010037735490779697
to_k,8,3,tiger cat,0.03312224292172961,0.02639105221300717
to_k,8,4,orange,0.03977430155545852,0.03047595746746107
to_k,8,5,lemon,0.043180588435872504,0.04319156422130115
to_k,8,6,yawl,0.039976392547465496,0.03177434801521011
to_k,8,7,lifeboat,0.037556890774998686,0.020634131757241832
to_k,8,8,soccer ball,0.047822117643757156,0.051584361552974356
to_k,8,9,volleyball,0.04528996085704518,0.01700327352069525
to_k,9,0,golden retriever,0.034445897226910625,0.057195428827938974
to_k,9,1,labrador retriever,0.032082462507595146,-0.00985723969867696
to_k,9,2,tabby,0.03425062422135331,0.049708291022272706
to_k,9,3,tiger cat,0.027900749185868923,0.029423614652936483
to_k,9,4,orange,0.04277758146330336,0.03672067955845431
to_k,9,5,lemon,0.027748554573172334,0.02911568914626472
to_k,9,6,yawl,0.03795092875968702,0.045966820518146205
to_k,9,7,lifeboat,0.04645917647170065,0.027856301156776397
to_k,9,8,soccer ball,0.035696980587043604,0.06691845461665039
to_k,9,9,volleyball,0.02129617407962386,-0.018460785222826903
to_k,10,0,golden retriever,0.033647715743060726,0.015927330963600595
to_k,10,1,labrador retriever,0.03769319493983306,-0.010956768282611615
to_k,10,2,tabby,0.03772597327174041,-0.012001052534791312
to_k,10,3,tiger cat,0.04569939746317466,0.011507107396346548
to_k,10,4,orange,0.03652326555309153,-0.003494226004913712
to_k,10,5,lemon,0.03587581450809522,-0.00918822137536714
to_k,10,6,yawl,0.03306356356810772,0.01847326277605815
to_k,10,7,lifeboat,0.0530503541025306,0.05040566383530532
to_k,10,8,soccer ball,0.05428601396509862,0.07375837066959771
to_k,10,9,volleyball,0.03551399882865471,-0.09037051911278679
to_k,11,0,golden retriever,0.029364131809471738,0.0030089125469542717
to_k,11,1,labrador retriever,0.04021608117168796,0.05678910391868512
to_k,11,2,tabby,0.042485216636531736,0.05111068051622867
to_k,11,3,tiger cat,0.025811753458699092,0.023955215662804345
to_k,11,4,orange,0.04168579107277961,-0.0031624408175507063
to_k,11,5,lemon,0.03891710486519557,-0.0321313658370062
to_k,11,6,yawl,0.03265233010242639,0.013358205634142585
to_k,11,7,lifeboat,0.037451835832067494,0.04481758450664886
to_k,11,8,soccer ball,0.03727817602079096,0.03690601484356636
to_k,11,9,volleyball,0.04057559084481273,0.013296198230701717
to_k,12,0,golden retriever,0.03386872613977891,0.07248086410208494
to_k,12,1,labrador retriever,0.040041029487822226,0.010111127092432724
to_k,12,2,tabby,0.05830135413885426,0.06128368816621326
to_k,12,3,tiger cat,0.058468706589654106,0.010879049652688355
to_k,12,4,orange,0.0404054839500581,0.013086891386932038
to_k,12,5,lemon,0.019674495418396745,-0.04049651926364499
to_k,12,6,yawl,0.03744735971385976,0.12049409941559847
to_k,12,7,lifeboat,0.04332015596124061,-0.026075689035017214
to_k,12,8,soccer ball,0.027714978551050526,0.036804694151175654
to_k,12,9,volleyball,0.02702505078937219,0.06545452825634998
to_k,13,0,golden retriever,0.026502685028180654,0.11895385260445801
to_k,13,1,labrador retriever,0.02523572068733551,0.07479268294914154
to_k,13,2,tabby,0.024896182960317773,0.006502833028531946
to_k,13,3,tiger cat,0.024416123989069883,0.09252923173958232
to_k,13,4,orange,0.04467113542580924,0.09816276928411945
to_k,13,5,lemon,0.03717834748301771,0.07370428956488395
to_k,13,6,yawl,0.04617385783132985,0.15331097163178437
to_k,13,7,lifeboat,0.023912190605226577,0.12713727243937373
to_k,13,8,soccer ball,0.03586452403818476,-0.024969582856384454
to_k,13,9,volleyball,0.02634478127023757,0.004331661607843906
to_k,14,0,golden retriever,0.03336777093553261,0.019552774047424133
to_k,14,1,labrador retriever,0.025439284181059015,0.06291635363423378
to_k,14,2,tabby,0.03302479935332972,0.019113437689258696
to_k,14,3,tiger cat,0.03156303048782273,0.054205248243458744
to_k,14,4,orange,0.04014944723435611,0.0320393171214449
to_k,14,5,lemon,0.019968539799691345,0.07763717342067897
to_k,14,6,yawl,0.028516660089049985,-0.007188391487874354
to_k,14,7,lifeboat,0.042550676692705,-0.05370692544170549
to_k,14,8,soccer ball,0.03418849918626608,0.042121733080017876
to_k,14,9,volleyball,0.045734767267306665,-0.04465078004271111
to_k,15,0,golden retriever,0.03860673971178149,0.07493236342398671
to_k,15,1,labrador retriever,0.05134328905954507,0.06954931875764658
to_k,15,2,tabby,0.04225059766409748,0.032969167845016946
to_k,15,3,tiger cat,0.042161882294662834,0.05183621736591448
to_k,15,4,orange,0.03998750329491127,0.04056320776632866
to_k,15,5,lemon,0.04086781834085305,0.07110414121443992
to_k,15,6,yawl,0.04806634170819673,0.06976390720426139
to_k,15,7,lifeboat,0.03728067354573515,0.13288698725780548
to_k,15,8,soccer ball,0.041763321633768224,0.0628382133678404
to_k,15,9,volleyball,0.03873908791077814,0.07825781497183387
