projection,layer_index,target_index,target_concept,official_mean,v1_mean,direct_mean,official_median,v1_median,direct_median,official_p95,v1_p95,direct_p95,official_max,v1_max,direct_max,official_contribution_frobenius,v1_contribution_frobenius,direct_contribution_frobenius,direct_to_official_contribution_ratio,direct_to_v1_contribution_ratio
to_v,4,4,orange,0.008394252398284152,0.06628560492124506,0.0009492054166075866,0.008575120009481907,0.00037581552169285715,0.00037198455538600683,0.00857514888048172,0.5838296562433237,0.003914544358849524,0.00857514888048172,0.9999990463256836,0.018699076026678085,354.5162455465699,21636.123169693066,249.47019684955993,0.7036918617507729,0.011530263295922018
to_v,4,5,lemon,0.007102376240072772,0.06950593631981974,0.001068080378335314,0.007192297838628292,0.0003259957447880879,0.0004311904340283945,0.007192297838628292,0.6377397894859314,0.0043866280000656845,0.007192297838628292,0.99993896484375,0.014780420809984207,303.99322265849975,23459.400511002656,243.45650717119264,0.8008616279076954,0.010377780415019962
to_v,4,6,yawl,0.006713943635259056,0.06702886343502712,0.0009058448907143084,0.006782852113246918,0.00039828172884881496,0.00041389006946701556,0.006782852113246918,0.5199510931968686,0.0032948752050288013,0.006782852113246918,0.9999990463256836,0.016927853226661682,283.8357577003053,18424.2500566768,157.34465251486904,0.5543510577726614,0.008540084509863054
to_v,4,7,lifeboat,0.007718289528565947,0.07056053835295302,0.0010216268737553793,0.007847009226679802,0.00035726350324694067,0.00041862567013595253,0.007847050204873085,0.649369916319847,0.004319418570958078,0.007847050204873085,0.9999961256980896,0.017601482570171356,333.57243102895563,20961.173665820257,190.4563591324859,0.5709595320722215,0.009086149572008371
to_v,4,8,soccer ball,0.007710975682857679,0.06532581138994828,0.0010740792524674687,0.007839610800147057,0.0004441099881660193,0.00048821212840266526,0.007839610800147057,0.5192025393247583,0.0040450109168887055,0.007839610800147057,0.9999866485595703,0.01712161675095558,326.7766741741794,16796.84631664586,184.14283270683907,0.5635127818477238,0.010962940854221634
to_v,4,9,volleyball,0.008169836596061941,0.05654280844682944,0.001042515337175576,0.008332567289471626,0.0004389603709569201,0.0004178814706392586,0.008332597091794014,0.44408160597085944,0.003907893295399844,0.008332597091794014,1.0,0.02308293804526329,346.84177281342335,16097.47305255433,270.2242137548918,0.779099390373182,0.016786747390268992
to_v,5,0,golden retriever,0.007590720022199094,0.07265323185960995,0.0007951960983997274,0.007711191661655903,0.000359226978616789,0.0003631715808296576,0.007711224723607302,0.5564772903919218,0.002904581581242382,0.007711224723607302,0.9999675750732422,0.010961797088384628,283.34302957657434,14043.880803600765,109.47031261173176,0.3863525874461191,0.007794876227065687
to_v,5,1,labrador retriever,0.008057558535074349,0.0750470969091623,0.0007161449955130582,0.008211507461965084,0.0003058602014789358,0.0003037563874386251,0.00821154285222292,0.6208354979753491,0.0027727342210710037,0.00821154285222292,0.9999637603759766,0.009782969951629639,299.50783416853164,13408.824546962049,91.10934341576437,0.30419686239157795,0.006794730074710868
to_v,5,2,tabby,0.007350750842306297,0.08062087645464829,0.0007859549814346308,0.007455578539520502,0.0003396408137632534,0.00037439900916069746,0.007455611601471901,0.6112869948148726,0.002891871519386768,0.007455611601471901,0.999995231628418,0.011708550155162811,275.7863537766576,14527.660825987612,100.42087479490864,0.3641256117996082,0.00691239119619809
to_v,5,3,tiger cat,0.0080693947544205,0.07337498845266736,0.0007894975795086727,0.008223576471209526,0.00029185062157921493,0.0003099789464613423,0.008223597891628742,0.604693555831909,0.0030954401707276695,0.008223597891628742,0.9999370574951172,0.010701794177293777,300.9025985028569,13244.026288081992,86.4420785870427,0.28727594582810484,0.006526873075209012
to_v,5,4,orange,0.009050346518779406,0.07064892574258863,0.0007973371785142683,0.009289865382015705,0.0003153785510221496,0.00032386378734372556,0.009289865382015705,0.5390620499849318,0.002954635687638074,0.009289865382015705,0.9999990463256836,0.014377123676240444,338.57376852534856,16240.666831453726,135.20925589936715,0.3993494726076046,0.00832535124958686
to_v,5,5,lemon,0.007828882013563998,0.07161778930881155,0.0009837103942009992,0.007965777069330215,0.00035521875543054193,0.0004367057845229283,0.007965810596942902,0.6293355196714401,0.003894462890457362,0.007965810596942902,0.9999942183494568,0.015549466013908386,298.7112751903875,13614.43753859484,122.66824182404406,0.4106582242195574,0.009010158625818982
to_v,5,6,yawl,0.0075919772447377906,0.08160596067568378,0.0008015141608618155,0.007712468039244413,0.0002640975435497239,0.00034263684938196093,0.007712502032518387,0.6771051824092861,0.0031393213779665518,0.007712502032518387,0.9999380111694336,0.009978814981877804,285.28353437736416,13527.207177861426,68.35017547214812,0.23958682235665463,0.005052792832507936
to_v,5,7,lifeboat,0.007832183793652803,0.0754953294545743,0.0009450343620512451,0.00796913355588913,0.00028461912006605417,0.00038377067539840937,0.007969174534082413,0.5867843866348262,0.0035623376490548243,0.007969174534082413,0.9998627305030823,0.01168376486748457,300.6008123961912,8953.050587371854,74.30025442749329,0.24717250041748295,0.008298875752170183
to_v,5,8,soccer ball,0.00723489183728816,0.07265890575625349,0.0010377406282631413,0.007332292385399342,0.00037690592580474913,0.00048738262557890266,0.007332292385399342,0.553213575482368,0.0037634970620274532,0.007332292385399342,1.0,0.01941792294383049,271.0020562721431,8643.53060511148,69.14973193026844,0.2551631263669364,0.008000172046521791
to_v,5,9,volleyball,0.008169866031676066,0.07833683189928564,0.0009718389960443966,0.008332625962793827,0.0003643314848886803,0.0004679375560954213,0.008332625962793827,0.6222486674785613,0.003655067051295191,0.008332625962793827,0.9999914169311523,0.014147322624921799,309.5280218998502,8054.40564551978,60.3819619836402,0.1950775300181939,0.007496761976127605
to_v,6,0,golden retriever,0.008056446486443746,0.0787954824075527,0.0008224734442764884,0.008210408501327038,0.0003410765784792602,0.0003805695450864732,0.008210408501327038,0.6530321210622783,0.0032090050983242676,0.008210408501327038,0.9999618530273438,0.010888569988310337,380.6236415044369,11506.547686148127,73.37675137623569,0.1927803304235382,0.006376956266784387
to_v,6,1,labrador retriever,0.008170556808909168,0.07726136614516861,0.000711353388323653,0.008333333767950535,0.00031106201640795916,0.0003148014366161078,0.008333333767950535,0.6429400593042374,0.0027566640637815,0.008333333767950535,0.99993896484375,0.009110521525144577,383.4903940647168,11169.29879377254,62.49656147932963,0.16296773647160215,0.005595388093133894
to_v,6,2,tabby,0.006975212348334025,0.07904142928136934,0.0007180091757961096,0.007057903800159693,0.00031296628003474325,0.00032024031679611653,0.007057941518723965,0.6259377807378769,0.002730604959651828,0.007057941518723965,0.9999933242797852,0.01074253860861063,329.4398453172939,11641.493724034612,70.84605977189867,0.21505006385510106,0.006085650299809244
to_v,6,3,tiger cat,0.007234926819000976,0.07853914311216385,0.0006820842489312469,0.007332324516028166,0.0002884766145143658,0.0002882262342609465,0.007332324516028166,0.6998039573431004,0.00281163071049377,0.007332324516028166,0.9997311234474182,0.0077862986363470554,339.078011723631,11564.664210926356,64.84111284563916,0.1912277133985573,0.005606830571386321
