projection,layer_index,target_index,target_concept,official_vs_v1_pearson,official_vs_v1_spearman,official_vs_direct_pearson,official_vs_direct_spearman
to_v,7,8,soccer ball,0.04548972917438353,0.10199067143817095,0.08626785584257868,0.10199067129227203
to_v,7,9,volleyball,0.05124631493322594,0.07345348497823657,0.09871061125579407,0.07345348487316047
to_v,8,0,golden retriever,0.053817095351058525,0.074624347450825,0.10334551152632139,0.0746243472373229
to_v,8,1,labrador retriever,0.05706629720241834,0.07972079345555849,0.10830345088381933,0.07972081624438201
to_v,8,2,tabby,0.045725439633412225,0.023774345479462368,0.08688695031886688,0.023774345479462368
to_v,8,3,tiger cat,0.04403161630901478,0.028144486318391566,0.08376102501646826,0.028144486318391566
to_v,8,4,orange,0.04206899494206192,0.06526406323483087,0.08100934382142252,0.06526406323483087
to_v,8,5,lemon,0.04366597498942729,0.046279718703998246,0.08061031720699743,0.046279718703998246
to_v,8,6,yawl,0.039275811206601216,0.057170843171037336,0.07297570027893095,0.0571729214852588
to_v,8,7,lifeboat,0.045516578393203756,0.009103224860652258,0.08878360593988335,0.009103224860652258
to_v,8,8,soccer ball,0.05148678201459635,0.054030522988407846,0.09746937947153965,0.05403160149809612
to_v,8,9,volleyball,0.05095431992456185,-0.0010828536874245892,0.09332473344793872,-0.0010828536874245892
to_v,9,0,golden retriever,0.05741125334803307,0.10677692605736169,0.11000590999590568,0.10677692605736169
to_v,9,1,labrador retriever,0.044612988118939795,0.04043579962144376,0.0844160246215398,0.04043579962144376
to_v,9,2,tabby,0.04956187332738394,0.1054994767566648,0.09150042393294823,0.1054994767566648
to_v,9,3,tiger cat,0.047152152017818506,0.0793240070259537,0.08810261934245874,0.0793240070259537
to_v,9,4,orange,0.029239668904094178,0.07719879114143405,0.05472867509308965,0.07719879114143405
to_v,9,5,lemon,0.01415172191304247,-0.046810256157889,0.025954936969451656,-0.046810256157889
to_v,9,6,yawl,0.037905564787128254,-0.00774430780335944,0.07089248323810558,-0.00774430780335944
to_v,9,7,lifeboat,0.03904431195892656,0.09551854024060319,0.07365079223563153,0.09551854024060319
to_v,9,8,soccer ball,0.0486852365811699,0.06211934339687821,0.09192333036518074,0.06211934339687821
to_v,9,9,volleyball,0.04327144718807159,0.03747512637721575,0.07465549801138673,0.03747512637721575
to_v,10,0,golden retriever,0.05819600287934483,0.0868418633048688,0.10468273973980519,0.0868418633048688
to_v,10,1,labrador retriever,0.04475975875504565,0.05609587403278697,0.07847696498354327,0.05609587403278697
to_v,10,2,tabby,0.03243823625466775,0.03348651519610505,0.05812188287257369,0.03348651519610505
to_v,10,3,tiger cat,0.0321636322032767,0.032976292739333474,0.05776465450975713,0.032976292739333474
to_v,10,4,orange,0.028907475921277494,-0.00831796803486596,0.05400526378830295,-0.00831796803486596
to_v,10,5,lemon,0.035221535610775706,-0.019728234349670838,0.06029006418995376,-0.019728234349670838
to_v,10,6,yawl,0.03480304957795691,0.027648933879468596,0.061999293664528575,0.027648933879468596
to_v,10,7,lifeboat,0.04278448842245267,0.025385982300334065,0.07745850817993581,0.025385982300334065
to_v,10,8,soccer ball,0.03874176300310507,-0.01166973989993388,0.07034271637918882,-0.01166973989993388
to_v,10,9,volleyball,0.04084763604106348,-0.03282479553530617,0.0750316033721527,-0.03282479553530617
to_v,11,0,golden retriever,0.04026873561098117,0.01065463180081841,0.07208788583002093,0.01065463180081841
to_v,11,1,labrador retriever,0.04552665895800493,0.047304051273822194,0.07908132087574243,0.047304051273822194
to_v,11,2,tabby,0.03487333691602895,0.030837730502426757,0.06256046516852592,0.030837730502426757
to_v,11,3,tiger cat,0.048599840775872115,0.08967598562247264,0.08302791260233647,0.08967598151742166
to_v,11,4,orange,0.034999868663582234,0.03143081975604595,0.061196866010502705,0.031422515689136205
to_v,11,5,lemon,0.04634154530850509,0.0791205906202563,0.08493898189784987,0.07912883942563985
to_v,11,6,yawl,0.04210381995169272,0.0282811524016227,0.07505954596464191,0.0282811524016227
to_v,11,7,lifeboat,0.029273361769479225,0.032655832014335126,0.052945067260434915,0.032655832014335126
to_v,11,8,soccer ball,0.04040097519966003,0.03139659015928931,0.07249522796267573,0.03139659015928931
to_v,11,9,volleyball,0.04401082150759668,0.03380574306288234,0.07852698733703584,0.03380574306288234
to_v,12,0,golden retriever,0.03993542347374932,0.1152625163803674,0.07840455723752275,0.1152625163803674
to_v,12,1,labrador retriever,0.04875011147745138,0.07177808751898461,0.09098455833079999,0.07177808751898461
to_v,12,2,tabby,0.04801929570072126,0.09577046948684126,0.08324153137089722,0.09577046948684126
to_v,12,3,tiger cat,0.05430281222023834,0.14971383127356955,0.10275795037368882,0.14971383127356955
to_v,12,4,orange,0.06994727148193665,0.1392268754988211,0.1369543145370418,0.1392268754988211
to_v,12,5,lemon,0.03788013614306864,0.025954476701675677,0.07006525329992905,0.025954476701675677
to_v,12,6,yawl,0.0420826502986461,-0.006811538402560968,0.08107765442722349,-0.006811538402560968
to_v,12,7,lifeboat,0.06603584148700288,0.10795878610682892,0.12214316816588223,0.10795878610682892
to_v,12,8,soccer ball,0.055227112419016754,0.03491144924386777,0.10466930250777434,0.03491144924386777
to_v,12,9,volleyball,0.03732674413872671,0.03619827457626027,0.06898406179212584,0.03619827457626027
to_v,13,0,golden retriever,0.04965168885761858,0.12108052371573083,0.07637932680824179,0.12108052371573083
to_v,13,1,labrador retriever,0.020756254060189848,0.04032188316036604,0.03261970550261682,0.04032188316036604
to_v,13,2,tabby,0.0258113788066913,0.005471930672545787,0.039039624463240045,0.005471930672545787
to_v,13,3,tiger cat,0.04168931984807026,0.13496477976082527,0.06405535038839136,0.13496477976082527
to_v,13,4,orange,0.07567664256450839,0.00301086495061246,0.07646978730146187,0.00301086495061246
to_v,13,5,lemon,0.03680270126940805,0.15840088446568937,0.061635780192867716,0.15840088446568937
to_v,13,6,yawl,0.03416830257671552,0.06333769412813568,0.05314073889914273,0.06333769412813568
to_v,13,7,lifeboat,0.04455506368947944,0.0998504119308466,0.07023617461321414,0.0998504119308466
to_v,13,8,soccer ball,0.022952434815744792,0.035558288425872414,0.039669518253348995,0.035558288425872414
to_v,13,9,volleyball,0.04104826409584219,0.10155509936905968,0.06528230009371516,0.10155509936905968
to_v,14,0,golden retriever,0.04003218652546806,0.030262822143969394,0.0719945161444646,0.030262822143969394
to_v,14,1,labrador retriever,0.01569256256789055,0.011317959306454411,0.026997650657158718,0.011317959306454411
to_v,14,2,tabby,0.05218255341254763,0.070784773331384,0.09337350539884083,0.070784773331384
to_v,14,3,tiger cat,0.036087960689248993,0.021108979899089417,0.0685418106156836,0.021108979899089417
to_v,14,4,orange,0.04994396533499123,0.045757183715473465,0.08824410924423526,0.045757179526237084
to_v,14,5,lemon,0.0665478362564823,0.10027632136797301,0.12053581229986708,0.10027632136797301
to_v,14,6,yawl,0.04823470108389543,0.0703265102272189,0.08569402149816406,0.0703265102272189
to_v,14,7,lifeboat,0.04901109515479148,0.07940726954671513,0.08399804206667763,0.07940726954671513
