condition,checkpoint,step,concept,role,n_images,accuracy,mean_expected_probability,class_count,image_retention
retain_always,W08,8,horse,erased_target,100,0.36,0.2623958924546605,10,delete-after-eval
retain_always,W08,8,elephant,explicit_retain_probe,100,1.0,0.9995663344860077,11,delete-after-eval
retain_always,W09,9,airplane,erased_target,100,0.06,0.08624462009709533,10,delete-after-eval
retain_always,W09,9,automobile,erased_target,100,0.79,0.7315699262497947,10,delete-after-eval
retain_always,W09,9,bird,erased_target,100,0.91,0.8625592458527536,10,delete-after-eval
retain_always,W09,9,cat,erased_target,100,0.0,0.003746241821500007,10,delete-after-eval
retain_always,W09,9,deer,erased_target,100,0.0,0.004271717709634686,10,delete-after-eval
retain_always,W09,9,dog,erased_target,100,0.79,0.7095467674033716,10,delete-after-eval
retain_always,W09,9,frog,erased_target,100,0.05,0.0630124158207036,10,delete-after-eval
retain_always,W09,9,horse,erased_target,100,0.24,0.1761876994316117,10,delete-after-eval
retain_always,W09,9,ship,erased_target,100,0.2,0.15115185195638334,10,delete-after-eval
retain_always,W09,9,elephant,explicit_retain_probe,100,1.0,0.9996373063325882,11,delete-after-eval
retain_always,W10,10,airplane,erased_target,100,0.02,0.04634282570394135,10,delete-after-eval
retain_always,W10,10,automobile,erased_target,100,0.76,0.6666984118428081,10,delete-after-eval
retain_always,W10,10,bird,erased_target,100,0.9,0.873112187798979,10,delete-after-eval
retain_always,W10,10,cat,erased_target,100,0.0,0.0017978864861652255,10,delete-after-eval
retain_always,W10,10,deer,erased_target,100,0.0,0.0033489327208280884,10,delete-after-eval
retain_always,W10,10,dog,erased_target,100,0.72,0.6407535275805276,10,delete-after-eval
retain_always,W10,10,frog,erased_target,100,0.05,0.060316260210547624,10,delete-after-eval
retain_always,W10,10,horse,erased_target,100,0.43,0.27483094090013765,10,delete-after-eval
retain_always,W10,10,ship,erased_target,100,0.1,0.07310899472337042,10,delete-after-eval
retain_always,W10,10,truck,erased_target,100,0.44,0.31670476927421987,10,delete-after-eval
retain_always,W10,10,elephant,explicit_retain_probe,100,1.0,0.999651625752449,11,delete-after-eval
