seed,m,ordered_prefix,alpha_count,alpha_mean,alpha_std,alpha_median,alpha_p90,alpha_p95,alpha_p99,alpha_min,alpha_max
20260823,30,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange,24960,0.05196659720072953,0.0025697770551665576,0.051557235419750214,0.05492383614182472,0.056168004870414734,0.06427708268165588,0.04767239838838577,0.06427717953920364
20260823,40,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza,24960,0.052471551423719245,0.002790751890434349,0.052295662462711334,0.05637554079294205,0.05829150229692459,0.06427708268165588,0.04767239838838577,0.06427717953920364
20260823,50,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza|hotdog|cheeseburger|ice cream|burrito|mashed potato|traffic light|backpack|umbrella|bookcase|water bottle,24960,0.05266544787296786,0.0028670508750766794,0.05230868235230446,0.056598514318466187,0.05892103165388107,0.06427708268165588,0.04767239838838577,0.06427717953920364
20260824,1,tabby,24960,0.04639322904759309,0.006396694286339595,0.04628164321184158,0.05095883458852768,0.05241971090435982,0.05491260439157486,1.8651282560163315e-42,0.05491269379854202
20260824,5,tabby|Labrador retriever|tiger|lion|African elephant,24960,0.05059199038854179,0.002489810876234309,0.05095869302749634,0.05346909165382385,0.05477422848343849,0.05667344480752945,0.043679557740688324,0.0566735677421093
20260824,10,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike,24960,0.051683254947718714,0.0025089238180448907,0.051996443420648575,0.05477434769272804,0.05495080351829529,0.059756334871053696,0.04584195464849472,0.05975642800331116
20260824,20,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano,24960,0.051931932607952216,0.0024630648041918707,0.051996443420648575,0.054948169738054276,0.05667344480752945,0.061256568878889084,0.04744509980082512,0.061256662011146545
20260824,30,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange,24960,0.0522432038138131,0.0024381717022564256,0.05201553925871849,0.05495068430900574,0.0566735677421093,0.061256568878889084,0.04744509980082512,0.061256662011146545
20260824,40,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza,24960,0.05259950898292188,0.0025333169796582997,0.05201553925871849,0.05576065927743912,0.0566735677421093,0.061256568878889084,0.04744509980082512,0.061256662011146545
20260824,50,tabby|Labrador retriever|tiger|lion|African elephant|sports car|convertible|school bus|airliner|mountain bike|minivan|pickup|motor scooter|folding chair|rocking chair|desk|dining table|table lamp|acoustic guitar|grand piano|violin|cornet|sax|cellular telephone|reflex camera|laptop|television|computer keyboard|Granny Smith|orange|banana|strawberry|broccoli|cauliflower|cowboy hat|running shoe|sweatshirt|jean|trench coat|pizza|hotdog|cheeseburger|ice cream|burrito|mashed potato|traffic light|backpack|umbrella|bookcase|water bottle,24960,0.052864949031171796,0.002641057424465899,0.05241793021559715,0.056612884625792614,0.05744738504290581,0.061256568878889084,0.04744509980082512,0.061256662011146545
