scope,seed,n,mi_count,mi_mean,mi_std,mi_median,mi_p90,mi_p95,mi_p99,mi_min,mi_max,mi_unique_count,mi_unique_values,theoretical_no_tie_unique_count,enumerated_no_tie_unique_count,fraction_exact_repo_max,fraction_numerically_at_ln2,alpha_mean,alpha_std,alpha_median,alpha_p90,alpha_p95,alpha_p99,alpha_min,alpha_max
seed,20260822,20,249600,0.6825854910264957,0.07348789606378894,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,61,"[0.0,0.00125366,0.00127936,0.00142557,0.0050084,0.00505942,0.00521894,0.01132137,0.01155764,0.01206169,0.02013555,0.02013556,0.02034613,0.02100591,0.02220967,0.03166745,0.03166746,0.03235306,0.04570058,0.04620085,0.06274121,0.06418122,0.06729263,0.07265289,0.08228286,0.08324792,0.08324793,0.08630458,0.08630459,0.09202269,0.10529695,0.10529696,0.1079301,0.13081205,0.13250548,0.13793379,0.16052793,0.16052794,0.16506784,0.16506785,0.19274479,0.19274481,0.19561672,0.20503804,0.23034084,0.23034085,0.23814552,0.25687343,0.2704381,0.27539614,0.29258645,0.31800061,0.33239579,0.36806422,0.37752661,0.43009755,0.49463192,0.49463195,0.52559733,0.59263909,0.69314718]",11,11,0.9762540064102564,0.9762540064102564,0.00830161650044167,0.0015522978034311562,0.00849818717688322,0.00943672563880682,0.009895816445350647,0.010765217244625092,0.0,0.011390105821192265
seed,20260822,50,249600,0.6820894971604959,0.07394152839537221,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,199,"[0.0,1.2e-07,0.00020006,0.00020077,0.00020211,0.0002068,0.00080018,0.00080154,0.00080541,0.000812,0.00180182,0.00180763,0.00181938,0.00320348,0.00320861,0.00322423,0.00325056,0.00340035,0.00501044,0.00502661,0.00505947,0.00721738,0.00722915,0.0072645,0.00732413,0.00983622,0.00986848,0.0100322,0.01285515,0.01287629,0.01293987,0.01304717,0.01629537,0.01634914,0.0164579,0.01662368,0.02013557,0.02016892,0.02440932,0.02449104,0.02449105,0.02465622,0.02525296,0.02908305,0.02913211,0.02928004,0.03096209,0.03420601,0.03432256,0.03432257,0.03455811,0.03972894,0.03972895,0.03979716,0.04000326,0.04572028,0.04587932,0.04587933,0.04620089,0.04823624,0.05211167,0.05220319,0.05247958,0.05294739,0.0589947,0.05920488,0.05963012,0.05963013,0.06028067,0.06627772,0.06627773,0.06639709,0.06675804,0.06824623,0.07408028,0.07408029,0.07435173,0.07490127,0.0757429,0.08228284,0.08228285,0.08243558,0.08243559,0.08289756,0.0836807,0.08480591,0.08630471,0.09103829,0.09138297,0.09315182,0.09315183,0.10019381,0.10019382,0.10038638,0.10038639,0.10096909,0.10994206,0.10994207,0.11037399,0.110374,0.11125012,0.11125013,0.12009028,0.12033036,0.12105765,0.12229395,0.13087875,0.13141547,0.13250551,0.14206724,0.14206725,0.14236453,0.14326593,0.15395321,0.15461649,0.1546165,0.15596543,0.1580478,0.16094212,0.16476782,0.16623917,0.16660583,0.16660585,0.16771856,0.17929199,0.18010941,0.18177545,0.19274485,0.19277185,0.19319627,0.1945689,0.20704924,0.20805719,0.21011716,0.22175367,0.22175369,0.22231084,0.22231087,0.22400811,0.23741546,0.23741548,0.23866323,0.23866324,0.24523342,0.24523345,0.25347728,0.25416851,0.25628012,0.27063051,0.27218688,0.28818375,0.28904951,0.28904954,0.29170558,0.29634404,0.30700296,0.30896968,0.30896971,0.31305742,0.31962997,0.31963,0.32622218,0.32732379,0.33072415,0.3469432,0.34947976,0.35482007,0.36806411,0.3694998,0.37397826,0.39102107,0.39439982,0.39439985,0.40168497,0.41437787,0.41632172,0.41632175,0.42250919,0.44007868,0.44007871,0.44483253,0.44483256,0.46045709,0.46617964,0.46617967,0.46899021,0.47838277,0.49549133,0.49549136,0.50294197,0.52520299,0.52984369,0.55995554,0.5599556,0.57786238,0.59510815,0.60837495,0.64392769,0.69314718]",26,26,0.9714703525641025,0.9714703525641025,0.008519821425620532,0.0016964448186230325,0.008802001364529133,0.00973084568977356,0.010136137716472149,0.011150738224387169,0.0,0.011590534821152687
seed,20260823,5,249600,0.6846287281757208,0.07020671975552036,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,14,"[0.0,0.02013555,0.02013556,0.02415719,0.08630458,0.08630459,0.16389658,0.19274479,0.19274481,0.27435848,0.42281044,0.42281047,0.69314712,0.69314718]",3,3,0.49174679487179485,0.9850841346153846,0.007439094231796426,0.0012156804421036753,0.00758350407704711,0.008551266975700855,0.00870837178081274,0.009647922590374947,0.0,0.010553340427577496
seed,20260823,10,249600,0.6833341531431188,0.07252155903415033,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,24,"[0.0,0.00505942,0.00550867,0.02013555,0.02013556,0.02100591,0.02415719,0.04620085,0.05067186,0.05067187,0.08228286,0.08630458,0.08630459,0.13250548,0.14839932,0.19274479,0.19274481,0.20503804,0.27539614,0.34201449,0.36806422,0.42281047,0.52559733,0.69314718]",6,6,0.9804607371794872,0.9804607371794872,0.007976300893592038,0.0014080971287989714,0.008180265314877033,0.009096394293010235,0.00945467408746481,0.010753022506833076,0.0,0.011331304907798767
seed,20260823,20,249600,0.682558689600003,0.0735491382981371,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,58,"[0.0,0.00125366,0.00127936,0.00133413,0.0050084,0.00505942,0.00521894,0.01132137,0.01155764,0.01206169,0.02013555,0.02013556,0.02034613,0.02100591,0.03166745,0.03166746,0.03235306,0.03382211,0.04570058,0.04620085,0.04777469,0.06274121,0.06418122,0.08228286,0.08324792,0.08324793,0.08630458,0.10529695,0.10529696,0.1079301,0.13081205,0.13250548,0.13793379,0.16052793,0.16052794,0.16506784,0.16506785,0.19274479,0.19274481,0.19561672,0.20503804,0.23034084,0.23034085,0.23814552,0.2704381,0.27539614,0.29258645,0.31800061,0.33239579,0.36806422,0.37752661,0.42281047,0.43009755,0.49463192,0.49463195,0.52559733,0.59263909,0.69314718]",11,11,0.9762259615384615,0.9762259615384615,0.00831263693531932,0.001557251459518982,0.008547237142920494,0.009512164629995823,0.009835490956902504,0.01089670043438673,0.0,0.011566800996661186
seed,20260823,50,249600,0.6820888741154583,0.07407133187610716,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,196,"[0.0,1.2e-07,0.00020006,0.00020077,0.00020211,0.00020398,0.0002068,0.00080018,0.00080154,0.00080541,0.000812,0.00180182,0.00180763,0.00181938,0.00183731,0.00320348,0.00320861,0.00322423,0.00325056,0.00340035,0.00501044,0.00502661,0.00505947,0.00526543,0.00721738,0.00722915,0.0072645,0.00983622,0.00986848,0.0100322,0.01285515,0.01287629,0.01293987,0.01304717,0.01629537,0.01634914,0.0164579,0.01685021,0.02013557,0.02016892,0.0202698,0.02440932,0.02449104,0.02449105,0.02465622,0.02908305,0.02913211,0.02928004,0.02988802,0.03420601,0.03432256,0.03432257,0.03491785,0.03972894,0.03972895,0.03979716,0.04000326,0.04572028,0.04587932,0.04587933,0.04620089,0.04669222,0.05211167,0.05220319,0.05247958,0.0589947,0.05920488,0.05963013,0.06627772,0.06627773,0.06639709,0.06675804,0.06824623,0.07408028,0.07408029,0.07435173,0.08228284,0.08228285,0.08243558,0.08243559,0.0836807,0.09103829,0.09138297,0.09208108,0.09315182,0.09315183,0.10019381,0.10019382,0.10038638,0.10038639,0.10096909,0.10528281,0.10994206,0.10994207,0.11037399,0.110374,0.11259601,0.12009028,0.12033036,0.12105765,0.12229395,0.12229396,0.13087875,0.13141547,0.13250551,0.14206724,0.14206725,0.14236453,0.14326593,0.14480092,0.15395321,0.15461649,0.1546165,0.15596542,0.16094214,0.16623917,0.16660583,0.16660585,0.16771856,0.16961817,0.16970502,0.17237818,0.17929199,0.18010941,0.18177545,0.19274485,0.19319627,0.1945689,0.20035285,0.20704924,0.20805719,0.22175367,0.22175369,0.22231084,0.22231087,0.22400811,0.22692734,0.23741546,0.23741548,0.23866323,0.23866324,0.24122232,0.25347728,0.25416851,0.25628012,0.25993431,0.27063051,0.27218688,0.28818375,0.28904951,0.28904954,0.29170558,0.29634404,0.30700296,0.30896968,0.30896971,0.31305742,0.32622218,0.32732379,0.33072415,0.33072418,0.3469432,0.34947976,0.35482007,0.36806411,0.3694998,0.37397826,0.39102107,0.39439982,0.39439985,0.401685,0.41437787,0.41446042,0.41632172,0.41632175,0.42250919,0.44007868,0.44007871,0.44483253,0.44483256,0.46617964,0.46617967,0.46899021,0.47838277,0.49549133,0.49549136,0.50246727,0.50294197,0.52520299,0.52984369,0.55995554,0.5599556,0.59510815,0.60837495,0.64392769,0.69314718]",26,26,0.9717027243589743,0.9717027243589743,0.008508411840279125,0.0016919972845792425,0.008771681226789951,0.009716681204736233,0.010111444629728794,0.011240202002227306,0.0,0.011418481357395649
seed,20260824,5,249600,0.6847005148992713,0.0696528172739006,0.6931471228599548,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,14,"[0.0,0.02013555,0.02013556,0.02415719,0.08630458,0.08630459,0.16389658,0.19274479,0.19274481,0.27435848,0.42281044,0.42281047,0.69314712,0.69314718]",3,3,0.4917267628205128,0.985088141025641,0.007432806331437526,0.001219870460296264,0.007551478687673807,0.008451037108898163,0.008712166920304298,0.009496324695646763,0.0,0.010138866491615772
seed,20260824,10,249600,0.6833510594266371,0.0723252924349652,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,26,"[0.0,0.00505942,0.00550867,0.02013555,0.02013556,0.02100591,0.02415719,0.04620085,0.05067186,0.05067187,0.08228286,0.08630458,0.08630459,0.13250548,0.14839931,0.14839932,0.19274479,0.19274481,0.20503804,0.27435848,0.27539614,0.34201449,0.36806422,0.42281047,0.52559733,0.69314718]",6,6,0.9803766025641025,0.9803766025641025,0.007981155626738335,0.0014070223042993617,0.008126781322062016,0.009073440916836262,0.009516165591776371,0.0102703170850873,0.0,0.011158313602209091
seed,20260824,20,249600,0.6826224913993083,0.07338154239104393,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,57,"[0.0,0.00125366,0.00127936,0.00133413,0.0050084,0.00505942,0.00521894,0.01132137,0.01155764,0.02013555,0.02013556,0.02034613,0.02100591,0.03166745,0.03166746,0.03235306,0.03382211,0.04570058,0.04620085,0.06274121,0.06418122,0.08228286,0.08324792,0.08324793,0.10529695,0.10529696,0.1079301,0.13081205,0.13250548,0.13793379,0.16052793,0.16052794,0.16506784,0.16506785,0.17529845,0.19274479,0.19274481,0.19561672,0.20503804,0.22446573,0.23034084,0.23034085,0.23814552,0.2704381,0.27539614,0.29258645,0.31800061,0.33239579,0.36806422,0.37752661,0.43009755,0.47050008,0.49463192,0.49463195,0.52559733,0.59263909,0.69314718]",11,11,0.9764182692307692,0.9764182692307692,0.00829119297092339,0.001549570567861638,0.008437550626695156,0.009504691697657108,0.009906786493957043,0.010935015045106411,0.0,0.01139916479587555
seed,20260824,50,249600,0.6820990076662118,0.07403230810556156,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.0,0.6931471824645996,199,"[0.0,1.2e-07,0.00020006,0.00020077,0.00020211,0.00020398,0.00080018,0.00080154,0.00080541,0.00082133,0.00180182,0.00180763,0.00181938,0.00320348,0.00320861,0.00322423,0.00328812,0.00501044,0.00502661,0.00517763,0.00526543,0.00721738,0.00722915,0.0072645,0.00752212,0.00983622,0.00986848,0.00993324,0.01016734,0.01285515,0.01287629,0.01293987,0.01320066,0.01629537,0.01634914,0.0164579,0.02013557,0.02016892,0.0202698,0.02044024,0.02068382,0.02440932,0.02449104,0.02449105,0.02465622,0.02908305,0.02913211,0.02928004,0.02953016,0.03420601,0.03432256,0.03432257,0.03455811,0.03972894,0.03972895,0.03979716,0.04000326,0.04085039,0.04151137,0.04572028,0.04587932,0.04587933,0.04620089,0.04669223,0.05211167,0.05220319,0.05247958,0.05294739,0.0589947,0.05920488,0.05963012,0.06028067,0.06232918,0.06627772,0.06627773,0.06639709,0.06675804,0.06941173,0.07408028,0.07408029,0.07435173,0.07490126,0.07490127,0.0757429,0.08228284,0.08228285,0.08243558,0.08243559,0.08289756,0.0836807,0.08480591,0.09103829,0.09138297,0.09315182,0.09315183,0.10019381,0.10019382,0.10038638,0.10038639,0.10096909,0.10195804,0.10994206,0.10994207,0.11037399,0.110374,0.11125012,0.11445269,0.11688104,0.12009028,0.12033036,0.12105765,0.12229395,0.13087875,0.13141547,0.13250551,0.14206724,0.14206725,0.14236453,0.14326593,0.14480092,0.15395321,0.15461649,0.1546165,0.15596542,0.16623917,0.16660583,0.16660585,0.16771856,0.16961817,0.17237817,0.17929199,0.18010941,0.18177545,0.19274485,0.19319627,0.1945689,0.20704924,0.20805719,0.21011716,0.22175367,0.22175369,0.22231084,0.22231087,0.22400811,0.22692734,0.23741546,0.23741548,0.23866323,0.23866324,0.25347728,0.25416851,0.25628012,0.27063051,0.27218688,0.2804763,0.28818375,0.28904951,0.28904954,0.29170558,0.30700296,0.30896968,0.30896971,0.31305742,0.32622218,0.32732379,0.32943252,0.33072418,0.3469432,0.34947976,0.35482007,0.36806411,0.3694998,0.37397826,0.39102107,0.39439982,0.39439985,0.41437787,0.41632172,0.41632175,0.42250919,0.44007868,0.44007871,0.44483253,0.44483256,0.46617964,0.46617967,0.46899021,0.47838277,0.49549133,0.49549136,0.50294197,0.52520299,0.52984369,0.55995554,0.5599556,0.59510815,0.60837495,0.64392769,0.69314718]",26,26,0.9717467948717948,0.9717467948717948,0.008507461625855443,0.0016940196112191347,0.008753816597163677,0.009751696139574051,0.010187390260398388,0.01112126000225544,0.0,0.011514137499034405
