condition,condition_label,cross_readout,space_type,space_label,layer_id,layer_index,layer_name,rank1_count_out_of_8,mean_margin,median_margin,minimum_margin,animal_with_minimum_margin,mean_own_centroid_distance
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L11,layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,6,0.04963305592536926,0.06811287999153137,-0.06541180610656738,fox,0.7136214971542358
matched_eot,Matched EOT,False,W0,L12,layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,4,-0.0037903189659118652,-1.004338264465332e-05,-0.04261326789855957,bear,0.4823657423257828
matched_fixed,Matched fixed suffix,False,W0,L12,layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,2,-0.012210279703140259,-0.015118300914764404,-0.03950369358062744,deer,0.2858235761523247
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L12,layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,3,-0.02161850780248642,-0.02571403980255127,-0.060397207736968994,rabbit,0.840712271630764
matched_eot,Matched EOT,False,W0,L13,layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,4,0.004188202321529388,0.0002562999725341797,-0.042736709117889404,bear,0.4331153482198715
matched_fixed,Matched fixed suffix,False,W0,L13,layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,4,-0.006408087909221649,-0.005867719650268555,-0.028010785579681396,deer,0.20100048184394836
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L13,layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,2,-0.02581171691417694,-0.022402197122573853,-0.06642484664916992,wolf,0.8870826214551926
matched_eot,Matched EOT,False,W0,L14,layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,1,-0.010154709219932556,-0.01728793978691101,-0.034753382205963135,bear,0.413047157227993
matched_fixed,Matched fixed suffix,False,W0,L14,layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,2,-0.006619401276111603,-0.004095315933227539,-0.03525513410568237,deer,0.19678179174661636
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L14,layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,2,-0.02230323851108551,-0.016091883182525635,-0.07284164428710938,rabbit,0.8086212277412415
matched_eot,Matched EOT,False,W0,L15,layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,7,0.09331482648849487,0.10920226573944092,-0.012475907802581787,fox,0.6450618654489517
matched_fixed,Matched fixed suffix,False,W0,L15,layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,7,0.014720596373081207,0.014838367700576782,-0.005859851837158203,bear,0.17144926637411118
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L15,layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,7,0.10458577424287796,0.11193081736564636,-0.007217109203338623,fox,0.7631407156586647
