condition,condition_label,cross_readout,space_type,space_label,layer_id,layer_index,layer_name,animal,own_centroid_cosine_distance,nearest_other_concept,nearest_other_cosine_distance,margin,own_centroid_rank,rank1_own_centroid
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.27948158979415894,horse,0.28609538078308105,0.006613790988922119,1,True
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fox,0.28236299753189087,dog,0.2563321590423584,-0.02603083848953247,5,False
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,bear,0.3042163848876953,dog,0.3041931390762329,-2.3245811462402344e-05,2,False
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.28980696201324463,bear,0.27535563707351685,-0.014451324939727783,4,False
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,0.23983782529830933,dog,0.20903360843658447,-0.030804216861724854,7,False
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.2904447317123413,bear,0.25377416610717773,-0.036670565605163574,7,False
matched_fixed,Matched fixed suffix,False,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.23916995525360107,dog,0.25463229417800903,0.015462338924407959,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,cat,1.0008710622787476,fox,0.9920863509178162,-0.008784711360931396,3,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.979347288608551,cat,0.9905949234962463,0.011247634887695312,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,fox,1.0006152391433716,bear,1.0111899375915527,0.010574698448181152,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,bear,0.94935142993927,fox,0.9724351763725281,0.023083746433258057,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.9826656579971313,fox,0.9562899470329285,-0.02637571096420288,5,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,1.0035418272018433,bear,0.956702470779419,-0.046839356422424316,7,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,deer,1.0018227100372314,bear,0.9852211475372314,-0.0166015625,3,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L1,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.9748380184173584,bear,0.9718068242073059,-0.0030311942100524902,2,False
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.310464084148407,dog,0.3629351258277893,0.052471041679382324,1,True
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.29083681106567383,cat,0.3361596465110779,0.04532283544540405,1,True
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fox,0.39311015605926514,cat,0.37847429513931274,-0.014635860919952393,3,False
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,bear,0.41553086042404175,cat,0.36784040927886963,-0.04769045114517212,7,False
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.36200273036956787,cat,0.38793838024139404,0.025935649871826172,1,True
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.38479477167129517,cat,0.3747974634170532,-0.009997308254241943,2,False
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.29743492603302,wolf,0.3430675268173218,0.04563260078430176,1,True
matched_eot,Matched EOT,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.30350202322006226,deer,0.37076425552368164,0.06726223230361938,1,True
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.1405123472213745,dog,0.1559045910835266,0.0153922438621521,1,True
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.12595129013061523,cat,0.14634621143341064,0.02039492130279541,1,True
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fox,0.1370566487312317,dog,0.12730181217193604,-0.009754836559295654,4,False
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,bear,0.13813865184783936,dog,0.11905455589294434,-0.01908409595489502,5,False
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.1321461796760559,cat,0.13683980703353882,0.00469362735748291,1,True
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.14622992277145386,cat,0.14258843660354614,-0.003641486167907715,2,False
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.12195849418640137,dog,0.1184842586517334,-0.0034742355346679688,4,False
matched_fixed,Matched fixed suffix,False,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.11537957191467285,dog,0.13242274522781372,0.01704317331314087,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.6282092332839966,dog,0.7441103458404541,0.11590111255645752,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.5234824419021606,cat,0.5565505027770996,0.033068060874938965,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,fox,0.8104540109634399,cat,0.7655065059661865,-0.04494750499725342,2,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,bear,0.6499052047729492,cat,0.6516504287719727,0.0017452239990234375,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.65548175573349,cat,0.6539251804351807,-0.0015565752983093262,2,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.7128036618232727,cat,0.6994959712028503,-0.013307690620422363,2,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.6638864278793335,fox,0.7296331524848938,0.0657467246055603,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L2,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.635953426361084,cat,0.6874207854270935,0.05146735906600952,1,True
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.2643694281578064,dog,0.2997496724128723,0.03538024425506592,1,True
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.23968195915222168,cat,0.26595020294189453,0.02626824378967285,1,True
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fox,0.35635900497436523,cat,0.3443584442138672,-0.012000560760498047,2,False
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,bear,0.3309262990951538,wolf,0.3464275598526001,0.015501260757446289,1,True
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.32330596446990967,bear,0.3522409200668335,0.028934955596923828,1,True
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,0.3580085039138794,cat,0.3317372798919678,-0.02627122402191162,6,False
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.24530673027038574,horse,0.27307552099227905,0.02776879072189331,1,True
matched_eot,Matched EOT,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.23232972621917725,dog,0.2840080261230469,0.05167829990386963,1,True
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.20060127973556519,dog,0.20398402214050293,0.003382742404937744,1,True
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.1971225142478943,horse,0.21383798122406006,0.01671546697616577,1,True
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fox,0.20053750276565552,dog,0.19234830141067505,-0.008189201354980469,4,False
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,bear,0.21878886222839355,dog,0.2118898630142212,-0.006898999214172363,2,False
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.19173789024353027,dog,0.18957126140594482,-0.0021666288375854492,2,False
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,0.18351465463638306,dog,0.18280500173568726,-0.0007096529006958008,2,False
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.1973605751991272,dog,0.18629103899002075,-0.011069536209106445,6,False
matched_fixed,Matched fixed suffix,False,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.155106782913208,dog,0.1699669361114502,0.014860153198242188,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,cat,0.9087004661560059,fox,0.9513686895370483,0.04266822338104248,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,dog,0.8964805006980896,cat,0.9172917604446411,0.020811259746551514,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,fox,0.8518749475479126,cat,0.857715904712677,0.005840957164764404,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,bear,0.780365526676178,deer,0.8062502145767212,0.025884687900543213,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,wolf,0.7620724439620972,fox,0.7451338768005371,-0.01693856716156006,2,False
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,0.8234286904335022,bear,0.8258363008499146,0.0024076104164123535,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,deer,0.8236303925514221,bear,0.8542977571487427,0.030667364597320557,1,True
oce_last_to_eot,OCE-last-token -> EOT-description centroid,True,W0,L3,layer_03,3,unet.down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,horse,0.8509759902954102,bear,0.8960680961608887,0.045092105865478516,1,True
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.48894500732421875,dog,0.6256296634674072,0.13668465614318848,1,True
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.4808785915374756,wolf,0.6011611223220825,0.12028253078460693,1,True
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fox,0.633784830570221,wolf,0.6133677959442139,-0.02041703462600708,2,False
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,bear,0.7158072590827942,wolf,0.6748127937316895,-0.040994465351104736,2,False
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.5786826610565186,deer,0.6843982934951782,0.10571563243865967,1,True
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.6375013589859009,cat,0.6667650938034058,0.029263734817504883,1,True
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,deer,0.4743592143058777,wolf,0.596219539642334,0.1218603253364563,1,True
matched_eot,Matched EOT,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,horse,0.47500669956207275,deer,0.6449114084243774,0.1699047088623047,1,True
matched_fixed,Matched fixed suffix,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,cat,0.1652991771697998,dog,0.18189406394958496,0.016594886779785156,1,True
matched_fixed,Matched fixed suffix,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,dog,0.1547560691833496,horse,0.18552392721176147,0.030767858028411865,1,True
matched_fixed,Matched fixed suffix,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,fox,0.16358232498168945,dog,0.1652374267578125,0.0016551017761230469,1,True
matched_fixed,Matched fixed suffix,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,bear,0.16463696956634521,dog,0.15671765804290771,-0.0079193115234375,2,False
matched_fixed,Matched fixed suffix,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,wolf,0.15606367588043213,fox,0.17928624153137207,0.02322256565093994,1,True
matched_fixed,Matched fixed suffix,False,W0,L4,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,0.16704994440078735,dog,0.17567294836044312,0.008623003959655762,1,True
