representation,space_type,layer_id,layer_index,layer_name,clustering_method,concept,recall
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,rabbit,0.4
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,deer,0.5
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,horse,0.36
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,cat,0.32
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,dog,0.22
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,fox,0.22
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,bear,0.4
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,wolf,0.4
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,rabbit,0.46
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,deer,0.52
fixed_suffix,W0,layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,horse,0.14
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,cat,0.58
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,dog,0.78
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,fox,0.48
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,bear,0.52
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,wolf,0.64
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,rabbit,0.52
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,deer,0.7
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,horse,0.82
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,cat,0.52
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,dog,0.76
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,fox,0.46
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,bear,0.9
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,wolf,0.88
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,rabbit,0.76
eot,W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,deer,0.72
