space_type,layer_id,layer_index,layer_name,normalization_stage,representation,concept,vector_type,count,vector_dimension,mean_norm,std_norm,min_norm,max_norm
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,bear,description,50,640,19.720457077026367,0.9105576872825623,17.861183166503906,21.365520477294922
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,wolf,description,50,640,20.470535278320312,0.7283986210823059,18.71917724609375,21.76319694519043
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,rabbit,description,50,640,19.53276824951172,1.123746395111084,17.250268936157227,22.18404197692871
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,deer,description,50,640,20.022441864013672,0.9247028231620789,18.36821746826172,22.30204200744629
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,eot,horse,description,50,640,20.512714385986328,0.7877081632614136,18.953746795654297,22.334583282470703
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,cat,description,50,640,16.75914764404297,0.39434438943862915,16.04908561706543,17.563125610351562
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,dog,description,50,640,16.90938377380371,0.4430837631225586,16.003292083740234,17.808202743530273
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,fox,description,50,640,16.636571884155273,0.31985679268836975,15.997893333435059,17.2344970703125
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,bear,description,50,640,16.658655166625977,0.47887301445007324,15.69605827331543,17.51333236694336
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,wolf,description,50,640,16.8118839263916,0.3968811631202698,16.0966739654541,17.463489532470703
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,rabbit,description,50,640,16.830469131469727,0.3708450198173523,16.0145320892334,17.831863403320312
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,deer,description,50,640,16.73558235168457,0.3813205361366272,15.967583656311035,17.639583587646484
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,fixed_suffix,horse,description,50,640,16.88427734375,0.4392513036727905,15.9017333984375,18.135147094726562
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,cat,name,1,640,19.724781036376953,0.0,19.724781036376953,19.724781036376953
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,dog,name,1,640,19.034643173217773,0.0,19.034643173217773,19.034643173217773
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,fox,name,1,640,16.875194549560547,0.0,16.875194549560547,16.875194549560547
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,bear,name,1,640,18.346385955810547,0.0,18.346385955810547,18.346385955810547
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,wolf,name,1,640,17.822185516357422,0.0,17.822185516357422,17.822185516357422
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,rabbit,name,1,640,18.62286376953125,0.0,18.62286376953125,18.62286376953125
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,deer,name,1,640,18.536954879760742,0.0,18.536954879760742,18.536954879760742
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_last,horse,name,1,640,19.818687438964844,0.0,19.818687438964844,19.818687438964844
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,cat,name,1,640,21.560579299926758,0.0,21.560579299926758,21.560579299926758
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,dog,name,1,640,22.471223831176758,0.0,22.471223831176758,22.471223831176758
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,fox,name,1,640,19.98967742919922,0.0,19.98967742919922,19.98967742919922
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,bear,name,1,640,18.26491355895996,0.0,18.26491355895996,18.26491355895996
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,wolf,name,1,640,17.981456756591797,0.0,17.981456756591797,17.981456756591797
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,rabbit,name,1,640,17.276071548461914,0.0,17.276071548461914,17.276071548461914
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,deer,name,1,640,20.11372184753418,0.0,20.11372184753418,20.11372184753418
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_eot,horse,name,1,640,20.16513442993164,0.0,20.16513442993164,20.16513442993164
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,cat,name,1,640,17.9457950592041,0.0,17.9457950592041,17.9457950592041
W0,layer_02,2,unet.down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,raw_before_row_l2,name_fixed,dog,name,1,640,18.203346252441406,0.0,18.203346252441406,18.203346252441406
