representation,space_type,layer_id,layer_index,layer_name,clustering_method,normalization,ari,nmi,matched_accuracy,silhouette,silhouette_metric,cluster_sizes,objective,inertia,iterations,converged,best_initialization,input_norm_min,input_norm_max,center_norm_min,center_norm_max,centers_normalized_during_fit,labels_available_to_fit
fixed_suffix,W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.5636473744075093,0.636546662876733,0.7625,0.04498928040266037,euclidean,"[53, 57, 28, 59, 50, 18, 74, 61]",,38825.9765625,14,True,,26.03414535522461,28.87791633605957,25.18562454441755,25.7139429540253,False,False
fixed_suffix,W0,layer_04,4,unet.down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.5172955532374275,0.6130165022449573,0.75,0.046242665499448776,euclidean,"[59, 50, 47, 43, 90, 39, 43, 29]",,51.86785888671875,9,True,,0.9999999403953552,1.0,0.9250245802699574,0.9429138045645821,False,False
eot,W0,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.6284703683929524,0.7093108293353496,0.79,0.0917229875922203,cosine,"[44, 46, 54, 50, 67, 47, 43, 49]",281.6937436788624,,25,True,9.0,0.9999999403953552,1.0,0.9999999999999998,1.0,True,False
eot,W0,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.5696117823775565,0.6681680654693677,0.7375,0.05286727100610733,euclidean,"[31, 33, 51, 73, 76, 54, 63, 19]",,203601.78125,21,True,,28.35920524597168,34.79149627685547,21.013177785448278,24.380754814126544,False,False
eot,W0,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.6631356506462542,0.7167123065975183,0.825,0.049507349729537964,euclidean,"[36, 58, 39, 44, 66, 52, 58, 47]",,201.14479064941406,24,True,,0.9999999403953552,1.0,0.654605668071665,0.7584993722409215,False,False
fixed_suffix,W0,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.5387171556373365,0.6234702082556408,0.72,0.08766654133796692,cosine,"[52, 55, 38, 45, 38, 61, 56, 55]",373.51552300982974,,10,True,15.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,W0,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.5371854226618524,0.6235139855818866,0.71,0.043764300644397736,euclidean,"[51, 40, 48, 47, 59, 55, 64, 36]",,39361.1640625,19,True,,25.849987030029297,29.366113662719727,25.25417705344076,26.412098964674747,False,False
fixed_suffix,W0,layer_05,5,unet.down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.5261106187059592,0.6075212720704575,0.7025,0.04784509539604187,euclidean,"[35, 51, 52, 48, 36, 66, 51, 61]",,51.207889556884766,18,True,,0.9999999403953552,1.0,0.9292073429703842,0.9422527940775572,False,False
eot,W0,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.6334792278086379,0.7025600163357935,0.7775,0.0896279364824295,cosine,"[55, 47, 60, 50, 53, 45, 46, 44]",265.959305073784,,15,True,3.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.6029891774532067,0.7005932252526895,0.78,0.043262749910354614,euclidean,"[36, 34, 49, 50, 52, 57, 86, 36]",,318748.28125,17,True,,32.850460052490234,42.222896575927734,22.586229028705553,27.127937383327247,False,False
eot,W0,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.578158720717607,0.6659470047324053,0.7275,0.050671204924583435,euclidean,"[48, 58, 43, 55, 57, 46, 31, 62]",,222.36297607421875,21,True,,0.9999999403953552,1.0,0.6377952099957593,0.749389246668072,False,False
fixed_suffix,W0,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.4427119435182978,0.5589566015566668,0.6725,0.06822855025529861,cosine,"[43, 29, 45, 58, 67, 54, 43, 61]",370.64030680092367,,10,True,20.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
fixed_suffix,W0,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.4243818617953686,0.5481382127116134,0.655,0.03918944671750069,euclidean,"[41, 59, 54, 94, 44, 34, 43, 31]",,58031.51953125,14,True,,29.7838077545166,34.067378997802734,29.01952252146572,30.391429170809406,False,False
fixed_suffix,W0,layer_06,6,unet.up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.5589546502690238,0.6275684827906641,0.77,0.04102097079157829,euclidean,"[57, 46, 68, 50, 56, 37, 40, 46]",,56.56340789794922,12,True,,0.9999999403953552,1.0,0.9207708263208398,0.9399990669986186,False,False
eot,W0,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.6370893806253141,0.7071842952673523,0.77,0.09938076138496399,cosine,"[48, 50, 56, 50, 58, 53, 44, 41]",270.8261819254516,,11,True,23.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
eot,W0,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_raw,none,0.6789517408050751,0.7461880846885356,0.8175,0.051576778292655945,euclidean,"[38, 67, 54, 69, 43, 48, 31, 50]",,391481.5,19,True,,37.283992767333984,47.82464599609375,25.965717150316937,32.68860336163883,False,False
eot,W0,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,euclidean_normalized,row_l2,0.6531181204928638,0.7386433241085881,0.805,0.04989437758922577,euclidean,"[38, 65, 78, 50, 54, 30, 36, 49]",,215.90672302246094,18,True,,0.9999999403953552,1.0,0.6255263535962804,0.7667931840636237,False,False
fixed_suffix,W0,layer_07,7,unet.up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,spherical_normalized,row_l2,0.5783992979589856,0.6351362740102928,0.75,0.08922002464532852,cosine,"[49, 47, 65, 41, 42, 52, 56, 48]",371.1710711248893,,18,True,30.0,0.9999999403953552,1.0,0.9999999999999999,1.0,True,False
