pair,order,variant,stage,class,number_of_generated_samples,accuracy,seed_set_identifier,checkpoint_identifier
automobile|bird,automobile->bird,baseline_second,2,airplane,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,automobile,200,0.9,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,bird,200,0.555,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,cat,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,deer,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,dog,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,frog,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,horse,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,ship,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,baseline_second,2,truck,200,1.0,cifar10_fixed_42_241,4c28f78fc16d0e7dad25ce794429713430991fc682fe1a0807e6a9eec2bc7c6e
automobile|bird,automobile->bird,retain_previous_second,2,airplane,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,automobile,200,0.915,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,bird,200,0.56,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,cat,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,deer,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,dog,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,frog,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,horse,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,ship,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,automobile->bird,retain_previous_second,2,truck,200,1.0,cifar10_fixed_42_241,835d57fa9c507d228b37e0a50bcecc88e2de3117df3b861e7ebbb7404f7916f6
automobile|bird,bird->automobile,stage1,1,airplane,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,automobile,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,bird,200,0.57,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,cat,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,deer,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,dog,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
automobile|bird,bird->automobile,stage1,1,frog,200,1.0,cifar10_fixed_42_241,e68d7a727a7a34920b0370234ff8d283f7505d16cd21ed955352c9833636776f
