projection,layer_index,target_concept,channels,spearman_alpha,mean_raw_mi_official,mean_raw_mi_matched,top_1_percent_overlap,top_5_percent_overlap,top_10_percent_overlap
to_k,5,volleyball,1280,0.015222462566676838,0.6862042545748409,0.4309054484823719,0.6153846153846154,0.390625,0.4453125
to_k,5,yawl,1280,0.029827764063818887,0.6852875252836383,0.43380538797937335,0.6923076923076923,0.375,0.4375
to_k,6,golden retriever,1280,0.12062117498318109,0.6835889159352518,0.35148516890767495,0.07692307692307693,0.03125,0.1640625
to_k,6,labrador retriever,1280,0.043932380020020985,0.684788961999584,0.3398237710498506,0.15384615384615385,0.140625,0.15625
to_k,6,lemon,1280,0.11117773928705695,0.6843844084622106,0.3866858931636671,0.3076923076923077,0.015625,0.1328125
to_k,6,lifeboat,1280,-0.00453764839235758,0.6855572264408692,0.3593065258784918,0.38461538461538464,0.0,0.09375
to_k,6,orange,1280,0.12359558132959252,0.6856920774356695,0.41695158526126763,0.15384615384615385,0.09375,0.1953125
to_k,6,soccer ball,1280,0.07568662861344341,0.6850450489408104,0.3279199004144175,0.15384615384615385,0.25,0.28125
to_k,6,tabby,1280,0.11354412246793748,0.6854087619198254,0.40134123943862504,0.38461538461538464,0.03125,0.09375
to_k,6,tiger cat,1280,0.10488011928366626,0.6834676785976626,0.3824536280997563,0.46153846153846156,0.015625,0.1484375
to_k,6,volleyball,1280,0.15149340847519982,0.68162060524337,0.4289099103916669,0.23076923076923078,0.125,0.1640625
to_k,6,yawl,1280,-0.02757356696433747,0.684910199281876,0.4204589948611101,0.46153846153846156,0.0,0.015625
to_k,7,golden retriever,1280,0.06923205933499303,0.6871209836215713,0.3555961970385397,0.3076923076923077,0.0,0.1171875
to_k,7,labrador retriever,1280,0.06305243820723677,0.6893589964631246,0.3415619368752232,0.23076923076923078,0.0,0.140625
to_k,7,lemon,1280,0.022010202693310325,0.6847617339604767,0.383761296296143,0.3076923076923077,0.0,0.1171875
to_k,7,lifeboat,1280,0.1031803602888109,0.6848965858895099,0.37049530119111296,0.23076923076923078,0.0,0.078125
to_k,7,orange,1280,-0.019379073998646506,0.6877816249179887,0.39303621622384527,0.46153846153846156,0.0,0.078125
to_k,7,soccer ball,1280,-0.0207552075757286,0.6855572265660157,0.33394606777874286,0.23076923076923078,0.0,0.046875
to_k,7,tabby,1280,0.09509646990648084,0.6854223779868335,0.39577279381628616,0.3076923076923077,0.0,0.078125
to_k,7,tiger cat,1280,0.08764714372214406,0.6837373809830751,0.35815965018118734,0.38461538461538464,0.25,0.28125
to_k,7,volleyball,1280,0.08582401087740348,0.682267632742878,0.4255263072409434,0.23076923076923078,0.0,0.0546875
to_k,7,yawl,1280,0.1462491655109993,0.68083872901625,0.4353555304143811,0.38461538461538464,0.0,0.0703125
to_k,8,golden retriever,1280,-0.004585518564254866,0.6845056470308919,0.3595068747381447,0.38461538461538464,0.109375,0.2890625
to_k,8,labrador retriever,1280,0.11019949092850137,0.6877816263877321,0.33959491102141326,0.3076923076923077,0.15625,0.171875
to_k,8,lemon,1280,0.08262545109949211,0.6838450048235245,0.37750498165551105,0.46153846153846156,0.046875,0.1640625
to_k,8,lifeboat,1280,0.13665530739600779,0.6837373811169527,0.3676238753774669,0.38461538461538464,0.203125,0.25
to_k,8,orange,1280,0.11283945751218762,0.6849101993924706,0.4058023644029163,0.46153846153846156,0.0,0.0546875
to_k,8,soccer ball,1280,-0.04020302193139038,0.6826721871446353,0.33042632935976146,0.46153846153846156,0.25,0.28125
to_k,8,tabby,1280,0.13147682679967254,0.685961779934587,0.3958940293639898,0.38461538461538464,0.015625,0.1328125
to_k,8,tiger cat,1280,-0.03426501777182031,0.6862042547174496,0.3716545056551695,0.46153846153846156,0.0625,0.140625
to_k,8,volleyball,1280,0.14128412919569686,0.6816206058720127,0.4189879621815635,0.38461538461538464,0.15625,0.265625
to_k,8,yawl,1280,0.006130764435178544,0.6851662872242741,0.4228169598936802,0.46153846153846156,0.046875,0.0546875
to_k,9,golden retriever,640,-0.02824598525423704,0.682416098396061,0.33062924711266534,0.2857142857142857,0.34375,0.375
to_k,9,labrador retriever,640,0.031960206237658696,0.6858133155154065,0.3185769110277761,0.14285714285714285,0.0,0.046875
to_k,9,lemon,640,0.18393234030181102,0.6902621125918813,0.3965546722349245,0.2857142857142857,0.0625,0.1875
to_k,9,lifeboat,640,0.12865209225946986,0.6813645193760749,0.3978215002163779,0.5714285714285714,0.28125,0.234375
to_k,9,orange,640,0.13634634700641152,0.6842495582357515,0.387305694934912,0.42857142857142855,0.28125,0.3125
to_k,9,soccer ball,640,0.017028768702709685,0.6876467757916543,0.3079794248333201,0.42857142857142855,0.125,0.203125
to_k,9,tabby,640,0.08359866624868989,0.6855436128680594,0.4361361253017094,0.5714285714285714,0.09375,0.109375
to_k,9,tiger cat,640,0.023336289793499793,0.6863254922267515,0.38660549683263523,0.42857142857142855,0.09375,0.109375
to_k,9,volleyball,640,0.16169203277685315,0.6902621131681371,0.4413395724608563,0.5714285714285714,0.0,0.125
to_k,9,yawl,640,0.0454847984220812,0.6868648955714889,0.44983389998669737,0.42857142857142855,0.0625,0.140625
to_k,10,golden retriever,640,0.028635231603100216,0.6855436125013512,0.34429979646229186,0.2857142857142857,0.0,0.015625
to_k,10,labrador retriever,640,0.10639762124527573,0.686864893976599,0.32814747498487123,0.14285714285714285,0.03125,0.28125
to_k,10,lemon,640,0.08530138372084035,0.688428652548464,0.39690605536452495,0.5714285714285714,0.0,0.0625
to_k,10,lifeboat,640,0.05511759662220466,0.6803401642013341,0.3778168106509838,0.5714285714285714,0.0,0.078125
to_k,10,orange,640,0.08409946487816804,0.685273911029799,0.3930238898610696,0.42857142857142855,0.3125,0.296875
to_k,10,soccer ball,640,0.07146110355490284,0.6813645167683717,0.33955407109460795,0.2857142857142857,0.3125,0.421875
to_k,10,tabby,640,0.12081245404987612,0.686595191003289,0.4260806091479026,0.42857142857142855,0.0625,0.171875
to_k,10,tiger cat,640,0.0690959246664306,0.6853011369763408,0.40450959210284054,0.2857142857142857,0.125,0.171875
to_k,10,volleyball,640,0.016633484657293574,0.6858133149624337,0.4385906685201917,0.5714285714285714,0.0625,0.3125
to_k,10,yawl,640,0.21765296162279568,0.6845192569366191,0.4573583255754784,0.7142857142857143,0.0625,0.234375
to_k,11,golden retriever,640,0.0002157105111306484,0.6865951939311344,0.3429240592638962,0.2857142857142857,0.21875,0.1875
to_k,11,labrador retriever,640,-0.004120277184590481,0.68476173421368,0.32318650201777926,0.14285714285714285,0.25,0.265625
to_k,11,lemon,640,0.09643494042794533,0.6858133164059836,0.3858780727197882,0.8571428571428571,0.125,0.1875
to_k,11,lifeboat,640,0.00010214741678127445,0.6863527174107731,0.3568668786843773,0.42857142857142855,0.03125,0.15625
to_k,11,orange,640,0.12366769033908118,0.6871345984982327,0.41666826966102233,0.42857142857142855,0.09375,0.140625
to_k,11,soccer ball,640,0.02535469861127048,0.6855708396120462,0.3259379763097968,0.5714285714285714,0.0,0.125
to_k,11,tabby,640,0.12745574923975297,0.6829282751248684,0.38924806194845585,0.2857142857142857,0.0,0.125
to_k,11,tiger cat,640,0.14587766104856734,0.6897499356709886,0.39264527849736625,0.2857142857142857,0.3125,0.28125
to_k,11,volleyball,640,0.14409039751372046,0.6844920319039375,0.4433091678249184,0.42857142857142855,0.40625,0.390625
to_k,11,yawl,640,0.12547420908513787,0.6884286538639571,0.44306669438956303,0.5714285714285714,0.0,0.15625
to_k,12,golden retriever,320,-0.008426844612424335,0.6842495572404005,0.269076081935782,0.25,0.0,0.09375
to_k,12,labrador retriever,320,-0.008419116069552037,0.6858133158180862,0.31064921672223134,0.5,0.0,0.0625
to_k,12,lemon,320,0.23648621541283263,0.6900196389295161,0.4071768178953789,0.75,0.0625,0.25
to_k,12,lifeboat,320,-0.034648644072966986,0.6790188801474869,0.3617733996012248,0.25,0.0625,0.25
