layer_id,layer_index,full_module_name,concept,matched_eot_own_rank,oce_last_to_eot_own_rank,matched_eot_margin,oce_last_to_eot_margin,matched_eot_rank1,oce_last_to_eot_rank1,rank1_status_changed
layer_11,11,unet.up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,horse,1,1,0.08657131071497948,0.0592127501983285,True,True,False
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,cat,1,6,0.04155183591279232,-0.05396437848556068,True,False,True
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,dog,3,5,-0.04130908343239603,-0.019790285758758963,False,False,False
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,fox,1,1,0.007001586380633862,0.01209728865776949,True,True,False
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,bear,7,1,-0.042613247538196175,0.018034002126982807,False,True,True
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,wolf,3,7,-0.011488686469845577,-0.04705443247501506,False,False,False
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,1,5,0.016555208465943383,-0.06039721679114429,True,False,True
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,deer,2,3,-0.001336029698960961,-0.031637802235829904,False,False,False
layer_12,12,unet.up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,horse,1,1,0.00131589190351189,0.009764677064271421,True,True,False
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,cat,1,6,0.044577701092167965,-0.048816542971028554,True,False,True
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,dog,2,4,-0.007884005562055596,-0.009715417448605934,False,False,False
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,fox,2,1,-0.0007401704050162827,0.0045765122387533275,False,True,True
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,bear,8,1,-0.042736729699568765,0.011499168528669612,False,True,True
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,wolf,2,7,-0.0016038234458725098,-0.06642479326728579,False,False,False
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,rabbit,1,5,0.0012527432250357684,-0.05592815520057559,True,False,True
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,deer,1,3,0.009356349543461762,-0.03508899147407396,True,False,True
layer_13,13,unet.up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,horse,1,2,0.03128350052297224,-0.006595608194507885,True,False,True
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,cat,1,2,0.054894904026117186,-0.008504146140803082,True,False,True
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,dog,3,3,-0.025437311761981718,-0.016311729873710545,False,False,False
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,fox,2,1,-0.018212681845765633,0.008146787335268524,False,True,True
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,bear,6,1,-0.0347532799541862,0.009306022688127191,False,True,True
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,wolf,3,4,-0.033298391210884626,-0.04011749253226471,False,False,False
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,rabbit,2,7,-0.016363140000388854,-0.07284161874146611,False,False,False
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,deer,3,3,-0.00748453836660945,-0.042231754459269966,False,False,False
layer_14,14,unet.up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,horse,2,3,-0.0005830240596979008,-0.015872058787545384,False,False,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,cat,1,1,0.1175678783883638,0.15635079109284433,True,True,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,dog,1,1,0.14491672797621524,0.17054632165659345,True,True,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,fox,2,2,-0.012475889110286076,-0.007217102106130691,False,False,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,bear,1,1,0.01662091060741433,0.038218087989814076,True,True,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,wolf,1,1,0.10083668301779136,0.08901540089882887,True,True,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,rabbit,1,1,0.05564810724658298,0.06850496250597315,True,True,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,deer,1,1,0.1255277099655604,0.13484622529792878,True,True,False
layer_15,15,unet.mid_block.attentions.0.transformer_blocks.0.attn2.to_v,horse,1,1,0.1978765301303932,0.18642148090406485,True,True,False
