layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,nearest_centroid_concept,own_centroid_rank,own_centroid_cosine_distance,nearest_other_centroid_cosine_distance,margin,within_cluster_typicality_percentile,rank1_own_centroid,cross_readout
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,deer,deer,1,0.8333565649713477,0.8641973070582317,0.030840742086884032,100.0,True,True
layer_00,0,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,to_v,oce_last_to_eot,OCE-last-token -> EOT-description centroid,horse,horse,1,0.8668425387750729,0.8899622787365958,0.023119739961522945,100.0,True,True
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,cat,cat,1,0.5565223321549259,0.6171648853674567,0.06064255321253087,100.0,True,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,dog,cat,2,0.5632085667450589,0.541057025302218,-0.022151541442840927,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,fox,cat,2,0.5769544362142058,0.5758122363905677,-0.001142199823638168,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,bear,cat,8,0.5635056823148554,0.514416097209083,-0.04908958510577244,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,wolf,cat,2,0.55907071813843,0.5449366814646122,-0.014134036673817851,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,rabbit,cat,2,0.4947508588663325,0.465113671365599,-0.02963718750073352,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,deer,cat,2,0.4836687855049763,0.4833857291338065,-0.00028305637116976534,100.0,False,False
layer_01,1,unet.down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,to_v,matched_eot,Matched EOT,horse,horse,1,0.4926315996751969,0.5026554751133442,0.010023875438147312,100.0,True,False
