layer_id,layer_index,full_module_name,matrix_type,condition,condition_label,prototype_concept,centroid_concept,cosine_distance,is_own_centroid,cross_readout
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,cat,0.2104878813591594,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,dog,0.2002224549038698,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,fox,0.20039330327502092,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,bear,0.21410529051021499,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,wolf,0.2089603206130468,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,rabbit,0.2121542824176199,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,deer,0.2241143216883068,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,fox,horse,0.2045330673483743,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,cat,0.20299559196767758,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,dog,0.18200031041806297,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,fox,0.19408645044669992,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,bear,0.19184209210471015,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,wolf,0.19833323616274534,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,rabbit,0.20155428758696703,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,deer,0.21448305305524407,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,bear,horse,0.19540598521847263,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,cat,0.22528173511421135,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,dog,0.21383653219166687,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,fox,0.22358420689203573,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,bear,0.2265487199320576,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,wolf,0.1873215570420017,True,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,rabbit,0.23250279839306365,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,deer,0.23184774699319943,False,False
text_space_baseline,-1,text_space_baseline,text_space,matched_fixed,Matched fixed suffix,wolf,horse,0.22420503077427634,False,False
