group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_preservation_loss,normalized_preservation_distortion,preservation_delta_vs_variant_c,preservation_ratio_vs_variant_c,anchor_feature_drift,orthogonality_residual,exact_mapping_residual,determinant
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,7.3883695531496698e-30,8.1496018340434956e-30,905.00214301351923,0.082740664145934797,-0.11306554595842926,0.42256404483715965,0.38367630322468682,1.986288985780066e-12,1.430420667295301e-14,-1.0000000000157725
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.87667206130574316,0.87667206130593167,2227.258296977594,0.20009330161359845,0,1,0.19417412202227163,2.2357995319229556e-12,,1.0000000000177374
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.1521754948501105e-29,2.207307953811155e-29,687.61343125501753,0.061774084254339938,-0.13831921735925851,0.30872639791626955,0.28853927894832998,1.9507916687075928e-12,1.3033253169501791e-14,-1.0000000000154972
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.97850555950958185,0.97850555951034268,5095.3348892323329,0.061406090159397651,0,1,0.12458165720724441,2.4293282204229716e-11,,-1.0000000004163281
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.2160042162807365e-29,2.3063162502357692e-29,3266.7535823687513,0.039369063931672825,-0.022037026227724826,0.6411263741019626,1.1822949318902904,2.3617471914128118e-11,1.6372145972840244e-14,1.0000000003999203
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.94332848041408768,0.94332848041423645,2024.1363678435616,0.20545402642669885,0,1,0.12859495570007073,2.1299241484640438e-12,,1.0000000000171112
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.0645768909111431e-29,1.1281784659175417e-29,807.47744319228957,0.081960630018883027,-0.12349339640781583,0.39892442822542901,0.59457904057146649,1.7916140624962357e-12,1.1684724848664528e-14,-1.0000000000139946
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.90120899842436353,0.90120899842452007,1393.7761331292156,0.18192957640788335,0,1,0.10014289311906102,2.1173727253889904e-12,,1.0000000000170786
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,8.4192835499268319e-30,8.9774813017140632e-30,451.56181763045913,0.058942356846820122,-0.12298721956106323,0.32398446701526007,0.21113085557151334,1.8038985355398463e-12,1.0896155012811168e-14,1.0000000000142317
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95686577980072662,0.95686577980112231,2577.7975295043534,0.12494924668483891,0,1,0.13454247299900426,6.7764935390480228e-12,,1.0000000000802858
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.7009851371066992e-29,2.8179253783740238e-29,1191.6218129565818,0.057759481168707306,-0.067189765516131594,0.46226354060696973,0.79160522978512626,6.4381126572303771e-12,1.2267245748045576e-14,1.000000000076243
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.93404967238165471,0.93404967238201431,2071.6842782178023,0.13323058120718737,0,1,0.10978316284903562,6.7837395443253949e-12,,1.000000000080671
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.4163646236266403e-29,1.518862204906161e-29,894.93485159560805,0.057553504495975884,-0.075677076711211488,0.43198418842348379,0.52812474128333842,6.5080529625945575e-12,1.5620019710161699e-14,-1.00000000007757
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.98140393379698621,0.98140393379779278,3960.9713086278225,0.07714579152871974,0,1,0.094349900696986802,2.5837559400315471e-11,,-1.0000000004271554
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.9941852675792235e-29,2.056836531967279e-29,2234.9234179591394,0.043528448617886684,-0.033617342910833056,0.56423620466298496,1.2030364012636758,2.498652832024443e-11,1.0505745940087444e-14,1.0000000004287737
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.98157196051697904,0.98157196051774154,3953.6575407675687,0.074072252703545574,0,1,0.080310590692937861,2.572371019292194e-11,,-1.0000000004399243
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.0415794209267052e-29,2.1157125289838175e-29,2316.8939707466543,0.043407289052948481,-0.030664963650597094,0.5860128113920684,1.2272232344899898,2.4698952891557765e-11,1.6790607452012024e-14,1.0000000004243617
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.98317679348475762,0.98317679348555442,5830.3262380049928,0.070912230632460063,0,1,0.071103701166596103,2.5341445684158678e-11,,1.0000000004319294
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,2.030015008611904e-29,2.1005173586047893e-29,3876.5975562954482,0.047149708053955811,-0.023762522578504253,0.66490233960251477,1.311932026420725,2.4965730271731309e-11,1.6132705714621245e-14,-1.0000000004255905
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.98035429368389193,0.98035429368473004,6974.3904389144036,0.067390099364468894,0,1,0.061513347828286644,2.4271210332931412e-11,,-1.0000000004152281
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.8746970624129168e-29,1.9480815687391916e-29,4996.8116694640175,0.048281729831450661,-0.019108369533018234,0.71645138212849957,1.3499695030280485,2.4663673984443263e-11,1.5317090251157439e-14,-1.0000000004236347
