group,target_names,anchor_names,layer,variant,target_rank,anchor_rank,true_leakage,projector_leakage_crosscheck,raw_frozen_s_preservation_loss,normalized_frozen_s_preservation_distortion,frozen_s_delta_vs_variant_c,frozen_s_ratio_vs_variant_c,anchor_feature_drift,anchor_delta_vs_variant_c,anchor_ratio_vs_variant_c,anchor_delta_vs_variant_d,orthogonality_residual,exact_mapping_residual,determinant
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.4990032539163683e-29,1.5664275146960646e-29,5791.0611482099921,0.055934371850516341,-0.010977551717146074,0.83594027593534359,1.0038134858196393,0.83272500763544555,5.8672185086533668,0,2.3765895487901147e-11,1.0492882415239587e-14,1.0000000004036838
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.4868758622899045e-29,1.564217233203473e-29,201853.26281776553,1.9496488074864808,1.8827368839188183,29.137539373157679,0.88269643270549192,0.71160795452129821,5.1592979379662349,-0.12111705311414733,2.1657405528188914e-11,1.047722055679899e-14,-1.000000000375763
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.95752468784310174,0.9575246878438709,5850.2337177321388,0.067522603261397487,0,1,0.22012536521003767,0,1,-0.79332621860617847,2.407145127872311e-11,,1.0000000004098257
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.4245860011967256e-29,1.5003754959856021e-29,4449.5643998987634,0.051356268169209358,-0.016166335092188129,0.76057891267011646,1.0134515838162161,0.79332621860617847,4.6039745708051774,0,2.4853160130055661e-11,1.5176719523280142e-14,1.0000000004212513
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.4334432618873048e-29,1.4939169555961252e-29,167809.90382785333,1.9368391257869078,1.8693165225255102,28.684307657524723,0.82246278679673557,0.6023374215866979,3.7363380908509285,-0.19098879701948057,2.1586567442187328e-11,1.5269877256538836e-14,-1.0000000003753819
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.92228452047302811,0.92228452047332221,7600.4832561929552,0.087844726083610158,0,1,0.25067852230818971,0,1,-0.53000782219006415,6.8230189727984798e-12,,1.0000000000820464
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.6745158799594134e-29,1.7755888780334341e-29,6326.2390289125979,0.07311728950675063,-0.014727436576859529,0.83234694632843376,0.78068634449825391,0.53000782219006415,3.1142929091406599,0,6.7134654904288804e-12,1.1771671263922528e-14,1.0000000000793399
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,E_anchor_optimal_exact_orthogonal,12,12,1.7014610651710758e-29,1.806051100283143e-29,164437.36318257547,1.9005311425315699,1.8126864164479597,21.635119457514776,0.66562277553516158,0.41494425322697187,2.6552844232775166,-0.11506356896309233,6.1355151981284257e-12,1.1961903363707321e-14,1.0000000000729474
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful,12,12,0.91707312932833351,0.91707312932869334,5322.9722139210107,0.096844017519049003,0,1,0.2558550085852494,0,1,-0.3825055853872022,7.0050593488593216e-12,,1.0000000000834091
balls,"[""soccer ball"", ""volleyball""]","[""basketball"", ""baseball""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,D_exact_orthogonal,12,12,1.2918551542531056e-29,1.3986667245423347e-29,4122.4937225000485,0.075002994236912743,-0.02184102328213626,0.77447214766941919,0.6383605939724516,0.3825055853872022,2.4950091753226458,0,6.9044095036361739e-12,1.4815997992530243e-14,1.000000000081722
