group,target_names,anchor_names,layer_name,solver_variant,target_expanded_column_count,target_numerical_rank,anchor_expanded_column_count,anchor_numerical_rank,paper_erase_loss,preserve_loss,total_paper_objective,true_leakage,anchor_feature_drift,orthogonality_error,determinant
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-655313.1875,7719.9765625,-647593.1875,0.97422345479329431,0.12535563111305237,0.0055811665952205658,1.0707869529724121
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-656923.6875,7719.9580078125,-649203.75,0.94244130452473962,0.12535060942173004,0.0053376480937004089,1.0673069953918457
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-656269.0625,4689.126953125,-651579.9375,0.94019301732381189,0.095562770962715149,0.0055128815583884716,1.0697611570358276
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-656268.4375,4689.0576171875,-651579.375,0.94017012914021814,0.095561489462852478,0.0056473659351468086,1.0714305639266968
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-657365.0625,4689.1630859375,-652675.875,0.91881299018859863,0.095567718148231506,0.0057496628724038601,1.0729057788848877
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-657159.1875,3775.939697265625,-653383.25,0.97262795766194665,0.19203652441501617,0.0057126991450786591,1.0721485614776611
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-657159.1875,3775.947265625,-653383.25,0.97262930870056152,0.19203481078147888,0.0057863439433276653,1.072993278503418
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-658210.9375,3775.943603515625,-654435,0.95692348480224609,0.19202698767185211,0.0055182678624987602,1.0692763328552246
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-335443.125,1612.314453125,-333830.8125,0.9003509680430094,0.17387540638446808,0.0020325942896306515,1.0176537036895752
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-335442.90625,1612.297607421875,-333830.59375,0.90034039815266931,0.17387363314628601,0.002004480455070734,1.0172933340072632
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-336863.25,1612.320556640625,-335250.9375,0.87605007489522302,0.17387466132640839,0.002017446793615818,1.0174567699432373
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-335314.21875,2141.764892578125,-333172.46875,0.90266426404317224,0.19995157420635223,0.0017765763914212584,1.0151700973510742
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-335314.59375,2141.780029296875,-333172.8125,0.90268023808797204,0.19995281100273132,0.0018837059615179896,1.0163023471832275
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-336753.125,2141.75634765625,-334611.375,0.8850963910420736,0.19995233416557312,0.0018182091880589724,1.015599250793457
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-334818.21875,2227.327880859375,-332590.90625,0.89720352490743005,0.19418111443519592,0.0020315847359597683,1.0175586938858032
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-334818.15625,2227.331298828125,-332590.8125,0.8972010612487793,0.19418081641197205,0.0020015249028801918,1.0173027515411377
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-336296.8125,2227.33349609375,-334069.46875,0.87673481305440271,0.19418199360370636,0.0018218469340354204,1.015644907951355
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-1297994.5,5095.9658203125,-1292898.5,0.98773765563964844,0.1246008574962616,0.016217416152358055,1.311336874961853
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-1297966.125,5281.38623046875,-1292684.75,0.98779201507568359,0.12579695880413055,0.017355583608150482,1.3393957614898682
dogs,"[""golden retriever"", ""labrador retriever""]","[""cocker spaniel"", ""beagle""]",mid_block.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-1298868.125,5095.826171875,-1293772.25,0.97868903477986657,0.12458626925945282,0.015935331583023071,-1.3036648035049438
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-336800.28125,2024.1956787109375,-334776.09375,0.94759702682495117,0.12860031425952911,0.0017565645975992084,1.015133261680603
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-336800.4375,2024.20849609375,-334776.21875,0.94760449727376306,0.12859974801540375,0.0017985942540690303,1.015559196472168
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-337857.75,2024.1865234375,-335833.5625,0.94336915016174316,0.12859870493412018,0.0018794360803440213,1.0162272453308105
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-335715.59375,1393.8140869140625,-334321.78125,0.90918334325154626,0.10014700144529343,0.00194103445392102,1.0167461633682251
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-335715.625,1393.8165283203125,-334321.8125,0.90918636322021484,0.10014592111110687,0.00194762391038239,1.0167950391769409
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-336789.375,1393.8095703125,-335395.5625,0.90125576655069983,0.10014612227678299,0.0019578221254050732,1.0169095993041992
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-657018.875,2577.985107421875,-654440.875,0.96526265144348145,0.13455431163311005,0.0060038580559194088,1.0761600732803345
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-657018.6875,2577.98095703125,-654440.6875,0.96525684992472327,0.13455139100551605,0.0059093469753861427,1.0748891830444336
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,C_objective_faithful_oce,12,12,12,12,-658123.6875,2577.968505859375,-655545.75,0.95698801676432288,0.13455674052238464,0.0060203815810382366,1.0764554738998413
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,A_released_oce,12,12,12,12,-656255.4375,2071.8115234375,-654183.625,0.94499905904134118,0.10979192703962326,0.0058106975629925728,1.0732924938201904
fruits,"[""orange"", ""lemon""]","[""banana"", ""pineapple""]",down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,B_rank_corrected_released_oce,12,12,12,12,-656255.625,2071.806640625,-654183.8125,0.94500494003295898,0.10979394614696503,0.0059974789619445801,1.0757242441177368
