comparison,scope,concept,edit_seed,delta_accuracy,delta_unlearn,delta_preserve,delta_overall,same_direction_count,total_seeds
constant_mean_vs_identity_B,five_seed_mean_unlearn_accuracy,,mean,,0.05000000000000071,,,1,5
constant_mean_vs_identity_B,five_seed_mean_preserve_accuracy,,mean,,,-0.13333333333333286,,2,5
constant_mean_vs_identity_B,five_seed_mean_overall_accuracy,,mean,,,,-0.12922865694169589,2,5
constant_mean_vs_identity_B,per_target,golden retriever,20260820,2.5,,,,,
constant_mean_vs_identity_B,per_target,golden retriever,20260821,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target,golden retriever,20260822,2.5,,,,,
constant_mean_vs_identity_B,per_target,golden retriever,20260823,0.8333333333333321,,,,,
constant_mean_vs_identity_B,per_target,golden retriever,20260824,3.333333333333334,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,golden retriever,mean,2.0,,,,0,5
constant_mean_vs_identity_B,per_target,labrador retriever,20260820,-0.8333333333333321,,,,,
constant_mean_vs_identity_B,per_target,labrador retriever,20260821,1.6666666666666679,,,,,
constant_mean_vs_identity_B,per_target,labrador retriever,20260822,-1.6666666666666643,,,,,
constant_mean_vs_identity_B,per_target,labrador retriever,20260823,0.0,,,,,
constant_mean_vs_identity_B,per_target,labrador retriever,20260824,-1.6666666666666643,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,labrador retriever,mean,-0.49999999999999856,,,,3,5
constant_mean_vs_identity_B,per_target,tabby,20260820,-1.666666666666666,,,,,
constant_mean_vs_identity_B,per_target,tabby,20260821,0.8333333333333321,,,,,
constant_mean_vs_identity_B,per_target,tabby,20260822,1.6666666666666679,,,,,
constant_mean_vs_identity_B,per_target,tabby,20260823,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target,tabby,20260824,0.8333333333333321,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,tabby,mean,0.5,,,,1,5
constant_mean_vs_identity_B,per_target,tiger cat,20260820,0.8333333333333286,,,,,
constant_mean_vs_identity_B,per_target,tiger cat,20260821,1.6666666666666643,,,,,
constant_mean_vs_identity_B,per_target,tiger cat,20260822,2.5,,,,,
constant_mean_vs_identity_B,per_target,tiger cat,20260823,0.8333333333333357,,,,,
constant_mean_vs_identity_B,per_target,tiger cat,20260824,1.6666666666666643,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,tiger cat,mean,1.4999999999999987,,,,0,5
constant_mean_vs_identity_B,per_target,orange,20260820,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target,orange,20260821,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target,orange,20260822,0.0,,,,,
constant_mean_vs_identity_B,per_target,orange,20260823,0.833333333333333,,,,,
constant_mean_vs_identity_B,per_target,orange,20260824,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,orange,mean,0.666666666666667,,,,0,5
constant_mean_vs_identity_B,per_target,lemon,20260820,-0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target,lemon,20260821,-2.5,,,,,
constant_mean_vs_identity_B,per_target,lemon,20260822,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target,lemon,20260823,-2.5,,,,,
constant_mean_vs_identity_B,per_target,lemon,20260824,-0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,lemon,mean,-1.1666666666666667,,,,4,5
constant_mean_vs_identity_B,per_target,yawl,20260820,-1.6666666666666714,,,,,
constant_mean_vs_identity_B,per_target,yawl,20260821,-1.6666666666666643,,,,,
constant_mean_vs_identity_B,per_target,yawl,20260822,0.8333333333333286,,,,,
constant_mean_vs_identity_B,per_target,yawl,20260823,-0.8333333333333286,,,,,
constant_mean_vs_identity_B,per_target,yawl,20260824,-3.3333333333333357,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,yawl,mean,-1.3333333333333344,,,,4,5
constant_mean_vs_identity_B,per_target,lifeboat,20260820,0.0,,,,,
constant_mean_vs_identity_B,per_target,lifeboat,20260821,1.6666666666666665,,,,,
constant_mean_vs_identity_B,per_target,lifeboat,20260822,-1.666666666666667,,,,,
constant_mean_vs_identity_B,per_target,lifeboat,20260823,0.0,,,,,
constant_mean_vs_identity_B,per_target,lifeboat,20260824,0.0,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,lifeboat,mean,-8.881784197001253e-17,,,,1,5
constant_mean_vs_identity_B,per_target,soccer ball,20260820,-0.8333333333333286,,,,,
constant_mean_vs_identity_B,per_target,soccer ball,20260821,-4.166666666666664,,,,,
constant_mean_vs_identity_B,per_target,soccer ball,20260822,-3.333333333333332,,,,,
constant_mean_vs_identity_B,per_target,soccer ball,20260823,-4.166666666666664,,,,,
constant_mean_vs_identity_B,per_target,soccer ball,20260824,0.0,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,soccer ball,mean,-2.499999999999998,,,,4,5
constant_mean_vs_identity_B,per_target,volleyball,20260820,1.6666666666666679,,,,,
constant_mean_vs_identity_B,per_target,volleyball,20260821,2.5,,,,,
constant_mean_vs_identity_B,per_target,volleyball,20260822,0.8333333333333321,,,,,
constant_mean_vs_identity_B,per_target,volleyball,20260823,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target,volleyball,20260824,0.8333333333333339,,,,,
constant_mean_vs_identity_B,per_target_five_seed_mean,volleyball,mean,1.3333333333333335,,,,0,5
