projection,layer_index,target_index,target_concept,official_contribution_frobenius,geo_contribution_frobenius,lambda,new_contribution_frobenius,new_to_official_ratio,norm_matches,rtol,atol
to_v,3,8,soccer ball,338.6486511230469,443.5031433105469,0.7635766863822937,338.648681640625,1.0000001192092896,True,1e-05,1e-07
to_v,3,9,volleyball,350.631591796875,306.06195068359375,1.145622968673706,350.631591796875,1.0,True,1e-05,1e-07
to_v,4,0,golden retriever,324.79534912109375,182.62783813476562,1.7784547805786133,324.79534912109375,1.0,True,1e-05,1e-07
to_v,4,1,labrador retriever,341.51922607421875,218.18124389648438,1.5653005838394165,341.51922607421875,1.0,True,1e-05,1e-07
to_v,4,2,tabby,313.7178649902344,201.12130737304688,1.5598440170288086,313.7178649902344,1.0,True,1e-05,1e-07
to_v,4,3,tiger cat,371.5104675292969,229.5018768310547,1.6187688112258911,371.5105285644531,1.0000001192092896,True,1e-05,1e-07
to_v,4,4,orange,354.5162353515625,249.47019958496094,1.4210765361785889,354.5162353515625,1.0,True,1e-05,1e-07
to_v,4,5,lemon,303.99322509765625,243.45651245117188,1.248655080795288,303.9931945800781,0.9999998807907104,True,1e-05,1e-07
to_v,4,6,yawl,283.83575439453125,157.34466552734375,1.8039108514785767,283.8357238769531,0.9999998807907104,True,1e-05,1e-07
to_v,4,7,lifeboat,333.5724182128906,190.45635986328125,1.7514375448226929,333.5723876953125,0.9999998807907104,True,1e-05,1e-07
to_v,4,8,soccer ball,326.77667236328125,184.14283752441406,1.7745826244354248,326.77667236328125,1.0,True,1e-05,1e-07
to_v,4,9,volleyball,346.8417663574219,270.2242126464844,1.2835332155227661,346.8417663574219,1.0,True,1e-05,1e-07
to_v,5,0,golden retriever,283.343017578125,109.4703140258789,2.5883092880249023,283.343017578125,1.0,True,1e-05,1e-07
to_v,5,1,labrador retriever,299.5078430175781,91.10934448242188,3.2873449325561523,299.5078430175781,1.0,True,1e-05,1e-07
to_v,5,2,tabby,275.7863464355469,100.4208755493164,2.746304988861084,275.7863464355469,1.0,True,1e-05,1e-07
to_v,5,3,tiger cat,300.902587890625,86.44207763671875,3.480973482131958,300.902587890625,1.0,True,1e-05,1e-07
to_v,5,4,orange,338.57379150390625,135.20925903320312,2.504072427749634,338.57379150390625,1.0,True,1e-05,1e-07
to_v,5,5,lemon,298.7112731933594,122.66824340820312,2.435114860534668,298.71124267578125,0.9999998807907104,True,1e-05,1e-07
to_v,5,6,yawl,285.2835388183594,68.35017395019531,4.173852443695068,285.2835388183594,1.0,True,1e-05,1e-07
to_v,5,7,lifeboat,300.6007995605469,74.30025482177734,4.045757293701172,300.6007995605469,1.0,True,1e-05,1e-07
to_v,5,8,soccer ball,271.0020446777344,69.14973449707031,3.9190611839294434,271.0020446777344,1.0,True,1e-05,1e-07
to_v,5,9,volleyball,309.52801513671875,60.381961822509766,5.126166820526123,309.52801513671875,1.0,True,1e-05,1e-07
to_v,6,0,golden retriever,380.6236572265625,73.37674713134766,5.187251567840576,380.6236572265625,1.0,True,1e-05,1e-07
to_v,6,1,labrador retriever,383.4903869628906,62.49656295776367,6.136183738708496,383.4903869628906,1.0,True,1e-05,1e-07
to_v,6,2,tabby,329.4398498535156,70.84606170654297,4.650079727172852,329.4398193359375,0.9999998807907104,True,1e-05,1e-07
to_v,6,3,tiger cat,339.0780029296875,64.84111785888672,5.229366779327393,339.0779724121094,0.9999998807907104,True,1e-05,1e-07
to_v,6,4,orange,375.830078125,75.89222717285156,4.952155113220215,375.830078125,1.0,True,1e-05,1e-07
to_v,6,5,lemon,376.8870544433594,85.179931640625,4.4245991706848145,376.8870544433594,1.0,True,1e-05,1e-07
to_v,6,6,yawl,337.08551025390625,70.02682495117188,4.813662528991699,337.0854797363281,0.9999998807907104,True,1e-05,1e-07
to_v,6,7,lifeboat,380.2051696777344,83.70834350585938,4.542022228240967,380.20513916015625,0.9999999403953552,True,1e-05,1e-07
to_v,6,8,soccer ball,383.6889343261719,75.68305206298828,5.069681167602539,383.68896484375,1.0000001192092896,True,1e-05,1e-07
to_v,6,9,volleyball,401.969482421875,81.56404876708984,4.928267955780029,401.969482421875,1.0,True,1e-05,1e-07
to_v,7,0,golden retriever,453.6176452636719,117.15750885009766,3.871861457824707,453.61761474609375,0.9999999403953552,True,1e-05,1e-07
to_v,7,1,labrador retriever,472.1871337890625,94.14004516601562,5.01579475402832,472.1871032714844,0.9999999403953552,True,1e-05,1e-07
to_v,7,2,tabby,408.18975830078125,125.4385757446289,3.254100799560547,408.18975830078125,1.0,True,1e-05,1e-07
to_v,7,3,tiger cat,478.3572692871094,94.415771484375,5.066497325897217,478.3572692871094,1.0,True,1e-05,1e-07
to_v,7,4,orange,475.6588134765625,114.17253875732422,4.166140079498291,475.6587829589844,0.9999999403953552,True,1e-05,1e-07
to_v,7,5,lemon,428.3043518066406,159.19985961914062,2.6903562545776367,428.3043212890625,0.9999999403953552,True,1e-05,1e-07
to_v,7,6,yawl,484.329833984375,93.634033203125,5.172583103179932,484.329833984375,1.0,True,1e-05,1e-07
to_v,7,7,lifeboat,423.9390563964844,135.40354919433594,3.130930185317993,423.9390869140625,1.0000001192092896,True,1e-05,1e-07
to_v,7,8,soccer ball,423.2662353515625,115.28472137451172,3.6714859008789062,423.2662048339844,0.9999999403953552,True,1e-05,1e-07
to_v,7,9,volleyball,458.90643310546875,125.1950912475586,3.6655304431915283,458.90643310546875,1.0,True,1e-05,1e-07
to_v,8,0,golden retriever,349.6834411621094,61.72269058227539,5.665395259857178,349.6834411621094,1.0,True,1e-05,1e-07
to_v,8,1,labrador retriever,362.9677734375,61.03300476074219,5.947073459625244,362.9677734375,1.0,True,1e-05,1e-07
to_v,8,2,tabby,321.3815612792969,73.3453598022461,4.3817572593688965,321.3815612792969,1.0,True,1e-05,1e-07
to_v,8,3,tiger cat,307.95782470703125,55.957820892333984,5.503392219543457,307.9578552246094,1.0000001192092896,True,1e-05,1e-07
to_v,8,4,orange,295.1268615722656,70.73417663574219,4.172337532043457,295.1268310546875,0.9999998807907104,True,1e-05,1e-07
to_v,8,5,lemon,314.0782775878906,96.38838195800781,3.2584662437438965,314.07830810546875,1.0000001192092896,True,1e-05,1e-07
to_v,8,6,yawl,298.2149963378906,77.04077911376953,3.8708720207214355,298.2149963378906,1.0,True,1e-05,1e-07
to_v,8,7,lifeboat,320.810302734375,76.5185546875,4.192581653594971,320.8102722167969,0.9999998807907104,True,1e-05,1e-07
to_v,8,8,soccer ball,332.52880859375,65.76774597167969,5.056107521057129,332.5287780761719,0.9999998807907104,True,1e-05,1e-07
to_v,8,9,volleyball,335.7068176269531,62.53784942626953,5.368058204650879,335.706787109375,0.9999998807907104,True,1e-05,1e-07
to_v,9,0,golden retriever,703.1891479492188,348.7611083984375,2.0162487030029297,703.1891479492188,1.0,True,1e-05,1e-07
to_v,9,1,labrador retriever,596.7647705078125,394.31353759765625,1.5134270191192627,596.7647094726562,0.9999998807907104,True,1e-05,1e-07
to_v,9,2,tabby,702.6452026367188,405.5125732421875,1.7327334880828857,702.6452026367188,1.0,True,1e-05,1e-07
to_v,9,3,tiger cat,637.5913696289062,393.5392761230469,1.6201467514038086,637.5913696289062,1.0,True,1e-05,1e-07
to_v,9,4,orange,511.2575988769531,503.5668640136719,1.0152724981307983,511.2575988769531,1.0,True,1e-05,1e-07
to_v,9,5,lemon,402.4555358886719,443.9642639160156,0.9065043330192566,402.4555358886719,1.0,True,1e-05,1e-07
to_v,9,6,yawl,561.1695556640625,406.5408935546875,1.3803520202636719,561.1695556640625,1.0,True,1e-05,1e-07
to_v,9,7,lifeboat,596.7994384765625,379.0164794921875,1.5746002197265625,596.7994384765625,1.0,True,1e-05,1e-07
to_v,9,8,soccer ball,669.44482421875,397.6650085449219,1.6834391355514526,669.4448852539062,1.0000001192092896,True,1e-05,1e-07
to_v,9,9,volleyball,584.2905883789062,420.24688720703125,1.3903508186340332,584.2905883789062,1.0,True,1e-05,1e-07
to_v,10,0,golden retriever,331.5948181152344,151.58932495117188,2.18745493888855,331.5948181152344,1.0,True,1e-05,1e-07
to_v,10,1,labrador retriever,266.8900146484375,104.94467163085938,2.543149709701538,266.8900146484375,1.0,True,1e-05,1e-07
to_v,10,2,tabby,237.49940490722656,118.69729614257812,2.000883102416992,237.49942016601562,1.0000001192092896,True,1e-05,1e-07
to_v,10,3,tiger cat,234.66302490234375,112.5211410522461,2.0855016708374023,234.66302490234375,1.0,True,1e-05,1e-07
to_v,10,4,orange,224.9548797607422,121.30232238769531,1.8544976711273193,224.9548797607422,1.0,True,1e-05,1e-07
to_v,10,5,lemon,263.162841796875,159.74356079101562,1.647408127784729,263.162841796875,1.0,True,1e-05,1e-07
to_v,10,6,yawl,259.1566162109375,174.36941528320312,1.486250400543213,259.1566162109375,1.0,True,1e-05,1e-07
to_v,10,7,lifeboat,304.3015441894531,142.76463317871094,2.131491184234619,304.30157470703125,1.0000001192092896,True,1e-05,1e-07
to_v,10,8,soccer ball,258.37506103515625,119.09574890136719,2.16947340965271,258.37506103515625,1.0,True,1e-05,1e-07
to_v,10,9,volleyball,270.0123291015625,102.6279525756836,2.6309823989868164,270.0123291015625,1.0,True,1e-05,1e-07
to_v,11,0,golden retriever,258.18096923828125,310.9558410644531,0.8302817940711975,258.18096923828125,1.0,True,1e-05,1e-07
to_v,11,1,labrador retriever,281.5097961425781,201.2552490234375,1.3987699747085571,281.5097961425781,1.0,True,1e-05,1e-07
to_v,11,2,tabby,239.24659729003906,241.0794677734375,0.9923972487449646,239.24659729003906,1.0,True,1e-05,1e-07
to_v,11,3,tiger cat,314.8967590332031,262.2424621582031,1.2007848024368286,314.8967590332031,1.0,True,1e-05,1e-07
to_v,11,4,orange,248.7955322265625,387.1503601074219,0.6426328420639038,248.79551696777344,0.9999999403953552,True,1e-05,1e-07
to_v,11,5,lemon,281.7377624511719,251.1493377685547,1.1217937469482422,281.73773193359375,0.9999998807907104,True,1e-05,1e-07
to_v,11,6,yawl,260.51654052734375,215.86244201660156,1.2068636417388916,260.51654052734375,1.0,True,1e-05,1e-07
to_v,11,7,lifeboat,225.47865295410156,306.4363098144531,0.7358092069625854,225.4786376953125,0.9999999403953552,True,1e-05,1e-07
to_v,11,8,soccer ball,250.50186157226562,185.0159149169922,1.353947639465332,250.50184631347656,0.9999999403953552,True,1e-05,1e-07
to_v,11,9,volleyball,264.6264953613281,270.38397216796875,0.9787063002586365,264.6264953613281,1.0,True,1e-05,1e-07
to_v,12,0,golden retriever,99.65618896484375,8.756917953491211,11.380281448364258,99.65618896484375,1.0,True,1e-05,1e-07
to_v,12,1,labrador retriever,122.1453628540039,6.866974830627441,17.78736114501953,122.1453628540039,1.0,True,1e-05,1e-07
to_v,12,2,tabby,125.07209014892578,3.4342403411865234,36.41914367675781,125.07209014892578,1.0,True,1e-05,1e-07
to_v,12,3,tiger cat,122.21148681640625,7.70950174331665,15.852060317993164,122.21147918701172,0.9999999403953552,True,1e-05,1e-07
to_v,12,4,orange,158.80587768554688,8.775762557983398,18.095962524414062,158.80587768554688,1.0,True,1e-05,1e-07
to_v,12,5,lemon,101.56206512451172,6.132167339324951,16.56218147277832,101.56206512451172,1.0,True,1e-05,1e-07
to_v,12,6,yawl,108.73657989501953,7.482478141784668,14.532161712646484,108.73657989501953,1.0,True,1e-05,1e-07
to_v,12,7,lifeboat,133.3917236328125,4.890838146209717,27.27379608154297,133.3917236328125,1.0,True,1e-05,1e-07
to_v,12,8,soccer ball,123.73828887939453,8.882390975952148,13.930741310119629,123.73828887939453,1.0,True,1e-05,1e-07
to_v,12,9,volleyball,100.55225372314453,8.023807525634766,12.53173828125,100.55226135253906,1.0000001192092896,True,1e-05,1e-07
to_v,13,0,golden retriever,250.5036163330078,128.1840057373047,1.9542502164840698,250.50363159179688,1.0000001192092896,True,1e-05,1e-07
to_v,13,1,labrador retriever,148.73435974121094,92.853271484375,1.6018214225769043,148.73435974121094,1.0,True,1e-05,1e-07
to_v,13,2,tabby,166.22122192382812,111.514404296875,1.490580677986145,166.22122192382812,1.0,True,1e-05,1e-07
to_v,13,3,tiger cat,202.60107421875,92.00196075439453,2.202138662338257,202.60107421875,1.0,True,1e-05,1e-07
to_v,13,4,orange,70.59734344482422,82.3343505859375,0.8574470281600952,70.59734344482422,1.0,True,1e-05,1e-07
to_v,13,5,lemon,219.32110595703125,95.93775177001953,2.2860772609710693,219.32110595703125,1.0,True,1e-05,1e-07
to_v,13,6,yawl,181.517822265625,88.01726531982422,2.062297821044922,181.517822265625,1.0,True,1e-05,1e-07
to_v,13,7,lifeboat,226.21502685546875,85.96021270751953,2.631624698638916,226.2150421142578,1.0000001192092896,True,1e-05,1e-07
to_v,13,8,soccer ball,151.29856872558594,81.12178802490234,1.8650792837142944,151.29856872558594,1.0,True,1e-05,1e-07
to_v,13,9,volleyball,201.8368377685547,92.17827606201172,2.1896355152130127,201.83682250976562,0.9999999403953552,True,1e-05,1e-07
to_v,14,0,golden retriever,167.94578552246094,72.82970428466797,2.306006669998169,167.94577026367188,0.9999998807907104,True,1e-05,1e-07
to_v,14,1,labrador retriever,123.70452117919922,31.841806411743164,3.884971857070923,123.70452117919922,1.0,True,1e-05,1e-07
to_v,14,2,tabby,211.05865478515625,63.35853576660156,3.33117938041687,211.05865478515625,1.0,True,1e-05,1e-07
to_v,14,3,tiger cat,166.59925842285156,42.94211196899414,3.879624128341675,166.59925842285156,1.0,True,1e-05,1e-07
to_v,14,4,orange,187.65347290039062,98.32111358642578,1.908577561378479,187.65347290039062,1.0,True,1e-05,1e-07
to_v,14,5,lemon,251.22213745117188,108.40603637695312,2.317418336868286,251.22210693359375,0.9999998807907104,True,1e-05,1e-07
to_v,14,6,yawl,180.751220703125,32.48076629638672,5.564869403839111,180.751220703125,1.0,True,1e-05,1e-07
to_v,14,7,lifeboat,212.34164428710938,31.615493774414062,6.716379165649414,212.34165954589844,1.0000001192092896,True,1e-05,1e-07
to_v,14,8,soccer ball,209.93829345703125,38.24517822265625,5.489274978637695,209.9383087158203,1.0000001192092896,True,1e-05,1e-07
to_v,14,9,volleyball,188.5179901123047,45.879852294921875,4.108949184417725,188.5179901123047,1.0,True,1e-05,1e-07
to_v,15,0,golden retriever,394.90765380859375,94.59315490722656,4.174801826477051,394.90765380859375,1.0,True,1e-05,1e-07
to_v,15,1,labrador retriever,373.3205261230469,82.00447082519531,4.552441120147705,373.3205261230469,1.0,True,1e-05,1e-07
to_v,15,2,tabby,430.14324951171875,87.8768081665039,4.894843578338623,430.1432189941406,0.9999999403953552,True,1e-05,1e-07
to_v,15,3,tiger cat,399.438720703125,75.10639953613281,5.318304538726807,399.438720703125,1.0,True,1e-05,1e-07
to_v,15,4,orange,394.20843505859375,93.7243881225586,4.206038951873779,394.20843505859375,1.0,True,1e-05,1e-07
to_v,15,5,lemon,413.1940002441406,99.49195861816406,4.15303897857666,413.1939697265625,0.9999999403953552,True,1e-05,1e-07
to_v,15,6,yawl,414.6596984863281,90.40398406982422,4.5867414474487305,414.65972900390625,1.0000001192092896,True,1e-05,1e-07
to_v,15,7,lifeboat,379.34417724609375,84.08133697509766,4.511633396148682,379.3441467285156,0.9999999403953552,True,1e-05,1e-07
to_v,15,8,soccer ball,385.3693542480469,105.45280456542969,3.6544249057769775,385.3693542480469,1.0,True,1e-05,1e-07
to_v,15,9,volleyball,362.1786804199219,109.38481903076172,3.3110506534576416,362.1786804199219,1.0,True,1e-05,1e-07
to_k,0,0,golden retriever,713.370361328125,1398.3218994140625,0.5101617574691772,713.370361328125,1.0,True,1e-05,1e-07
to_k,0,1,labrador retriever,587.1126708984375,1380.4527587890625,0.42530444264411926,587.1126708984375,1.0,True,1e-05,1e-07
to_k,0,2,tabby,757.7574462890625,1375.2132568359375,0.5510108470916748,757.7574462890625,1.0,True,1e-05,1e-07
to_k,0,3,tiger cat,497.545654296875,1298.451904296875,0.3831837475299835,497.5456848144531,1.0000001192092896,True,1e-05,1e-07
to_k,0,4,orange,588.93115234375,1526.4947509765625,0.38580620288848877,588.93115234375,1.0,True,1e-05,1e-07
to_k,0,5,lemon,218.37326049804688,1203.19140625,0.18149502575397491,218.3732452392578,0.9999999403953552,True,1e-05,1e-07
to_k,0,6,yawl,596.8748779296875,876.6927490234375,0.6808255910873413,596.8748168945312,0.9999998807907104,True,1e-05,1e-07
to_k,0,7,lifeboat,764.9672241210938,1273.416015625,0.6007205843925476,764.9672241210938,1.0,True,1e-05,1e-07
to_k,0,8,soccer ball,547.9556274414062,1162.531982421875,0.4713467061519623,547.95556640625,0.9999998807907104,True,1e-05,1e-07
to_k,0,9,volleyball,596.7090454101562,1364.96728515625,0.4371599555015564,596.708984375,0.9999998807907104,True,1e-05,1e-07
to_k,1,0,golden retriever,267.8783264160156,134.44921875,1.9924126863479614,267.8783264160156,1.0,True,1e-05,1e-07
to_k,1,1,labrador retriever,358.19287109375,64.04595184326172,5.592748165130615,358.19287109375,1.0,True,1e-05,1e-07
to_k,1,2,tabby,368.16632080078125,124.31291961669922,2.961609363555908,368.16632080078125,1.0,True,1e-05,1e-07
to_k,1,3,tiger cat,335.4111022949219,86.29328918457031,3.886873483657837,335.4111022949219,1.0,True,1e-05,1e-07
to_k,1,4,orange,364.98577880859375,182.71739196777344,1.9975426197052002,364.98577880859375,1.0,True,1e-05,1e-07
to_k,1,5,lemon,391.60467529296875,164.8052978515625,2.3761656284332275,391.6047058105469,1.0000001192092896,True,1e-05,1e-07
to_k,1,6,yawl,408.50390625,73.76680755615234,5.537774085998535,408.50390625,1.0,True,1e-05,1e-07
to_k,1,7,lifeboat,389.33197021484375,94.39637756347656,4.1244378089904785,389.33197021484375,1.0,True,1e-05,1e-07
to_k,1,8,soccer ball,360.2674560546875,96.59330749511719,3.7297351360321045,360.2674560546875,1.0,True,1e-05,1e-07
to_k,1,9,volleyball,487.65484619140625,130.9560546875,3.7238051891326904,487.65484619140625,1.0,True,1e-05,1e-07
to_k,2,0,golden retriever,497.2281799316406,371.6378479003906,1.337937355041504,497.2281494140625,0.9999999403953552,True,1e-05,1e-07
